ensemble,dmfdma_mean,dmfdma_std,dmfdma_lower,dmfdma_upper,dmamma_mean,dmamma_std,dmamma_lower,dmamma_upper,mmanh3_mean,mmanh3_std,mmanh3_lower,mmanh3_upper
0,0.030124426679853294,0.018658920374445307,0.011465506305407987,0.0487833470542986,0.027142106179536545,0.03425149777415069,-0.007109391594614142,0.06139360395368723,0.0015342638358248298,0.0017593976128275003,-0.0002251337770026705,0.0032936614486523304
1,0.030129998191106844,0.01861511853429241,0.011514879656814435,0.04874511672539925,0.027142765509396576,0.03414047329024306,-0.006997707780846487,0.061283238799639636,0.0015343555174450263,0.0017592571373186482,-0.00022490161987362184,0.0032936126547636743
2,0.03013019091536016,0.018609924089970007,0.011520266825390153,0.04874011500533017,0.027141890624192817,0.034130347915489585,-0.006988457291296768,0.0612722385396824,0.0015343663069306871,0.0017592622779727045,-0.00022489597104201732,0.0032936285849033916
3,0.030135619412372756,0.018566618006195523,0.011569001406177233,0.04870223741856828,0.027141867707163366,0.03402117119331286,-0.0068793034861494955,0.061163038900476224,0.0015344538923070838,0.0017591236055865874,-0.00022466971327950364,0.0032935774978936714
4,0.03013488414015439,0.01856096533194275,0.011573918808211639,0.04869584947209714,0.027144792181247487,0.03400490393898069,-0.006860111757733201,0.06114969612022818,0.001534480686325774,0.001759082795493974,-0.00022460210916820005,0.003293563481819748
5,0.030140174188246313,0.018518134508298863,0.01162203967994745,0.04865830869654518,0.02714407154854437,0.033897577929295694,-0.006753506380751326,0.06104164947784006,0.001534563265960504,0.0017589478545711103,-0.00022438458861060643,0.003293511120531614
6,0.030145333993500625,0.018475722660270064,0.011669611333230561,0.048621056653770686,0.02714279473360688,0.033791807359211196,-0.006649012625604314,0.06093460209281808,0.0015346422671635403,0.0017588149175162232,-0.00022417265035268286,0.0032934571846797633
7,0.03015036333066495,0.01843371925960935,0.0117166440710556,0.0485840825902743,0.02714098864647961,0.03368753676589426,-0.006546548119414651,0.06082852541237387,0.0015347178924118288,0.0017586838556885834,-0.0002239659632767546,0.003293401748100412
8,0.030155262882300266,0.018392113607670565,0.011763149274629701,0.04854737648997083,0.027138679556513008,0.03358471450646488,-0.00644603494995187,0.06072339406297789,0.0015347902659393813,0.0017585546743380646,-0.00022376440839868336,0.003293344940277446
9,0.030160033620977713,0.01835089489931718,0.011809138721660534,0.04851092852029489,0.027135890658221865,0.03348329382998003,-0.006347403171758168,0.0606191844882019,0.0015348595919123548,0.001758427198626037,-0.00022356760671368215,0.003293286790538392
10,0.030159694103221918,0.01834586705992174,0.011813827043300178,0.048505561163143654,0.027134955167581746,0.0334714969939428,-0.006336541826361054,0.06060645216152455,0.0015348695510861426,0.0017584064799751836,-0.00022353692888904108,0.003293276031061326
11,0.030164325116259074,0.018305062124689606,0.011859262991569468,0.04846938724094868,0.027131660020665565,0.033371597128248075,-0.00623993710758251,0.060503257148913636,0.0015349355122525241,0.0017582811485783315,-0.00022334563632580738,0.0032932166608308556
12,0.030168828860208566,0.018264625116587784,0.011904203743620782,0.04843345397679635,0.027127934651092443,0.03327299895539934,-0.006145064304306898,0.060400933606491784,0.0015349987365763718,0.0017581573989826687,-0.0002231586624062969,0.0032931561355590408
13,0.030168332068369462,0.018259217326825766,0.011909114741543696,0.048427549395195224,0.02712460133012138,0.03326137073946503,-0.0061367694093436495,0.06038597206958641,0.0015349971942601088,0.0017581443093198233,-0.0002231471150597145,0.0032931415035799324
14,0.03017269888954159,0.018219171073742057,0.011953527815799534,0.04839186996328365,0.02712042947371077,0.033164178296983954,-0.006043748823273184,0.06028460777069472,0.0015350574784699584,0.0017580222992091346,-0.00022296482073917625,0.003293079777679093
15,0.030176940874000097,0.018179475655817182,0.011997465218182915,0.04835641652981728,0.027115868814824858,0.033068202010960474,-0.005952333196135615,0.060184070825785335,0.0015351152759633417,0.0017579017783967029,-0.00022278650243336118,0.0032930170543600448
16,0.03018105936546297,0.018140122920874868,0.012040936444588101,0.04832118228633783,0.02711093591270896,0.032973407269791775,-0.005862471357082816,0.060084343182500735,0.0015351706543263253,0.0017577827754714952,-0.00022261212114516992,0.0032929534297978205
17,0.03018092083130447,0.01813555103502342,0.012045369796281048,0.04831647186632789,0.02710945391158141,0.0329639065017548,-0.005854452590173389,0.060073360413336205,0.0015351750785913114,0.0017577706248164682,-0.0002225955462251568,0.0032929457034077793
18,0.030184906385084167,0.018096566825836047,0.01208833955924812,0.04828147321092022,0.02710413744413552,0.03287037233711165,-0.0057662348929761326,0.05997450978124717,0.0015352278324448107,0.0017576534690240838,-0.00022242563657927307,0.0032928813014688942
19,0.03018877173977301,0.018057910752485324,0.012130860987287686,0.04824668249225833,0.027098483832122218,0.032777946569697715,-0.005679462737575497,0.05987643040181993,0.001535278416930598,0.001757537654916651,-0.000222259237986053,0.003292816071847249
20,0.030192518360256302,0.018019576748317834,0.012172941611938468,0.04821209510857413,0.027092506482726823,0.03268660225413933,-0.005594095771412507,0.05977910873686615,0.0015353269239968884,0.0017574231422738758,-0.00022209621827698738,0.003292750066270764
21,0.030196148123494623,0.01798155763235095,0.012214590491143672,0.048177705755845575,0.02708622150924952,0.03259630686488116,-0.005510085355631637,0.05968252837413068,0.0015353734282323958,0.0017573099296653149,-0.0002219365014329191,0.003292683357897711
22,0.030199662846780558,0.017943847605014763,0.012255815241765795,0.048143510451795324,0.02707964445868378,0.03250702765096584,-0.005427383192282059,0.059586672109649616,0.0015354180342263448,0.0017571979534385244,-0.00022177991921217954,0.003292615987664869
23,0.030199540380310655,0.017940261771749462,0.012259278608561193,0.04813980215206012,0.02707557784107122,0.03249510075406464,-0.0054195229129934235,0.05957067859513586,0.0015354066278697907,0.001757178364807903,-0.00022177173693811226,0.003292584992677694
24,0.030199629788066118,0.017936716098756723,0.012262913689309395,0.04813634588682284,0.027071198415789536,0.03248661133786435,-0.005415412922074817,0.05955780975365389,0.0015353997465709143,0.0017571663347945715,-0.00022176658822365726,0.0032925660813654858
25,0.03020301306444112,0.017899362290577408,0.012303650773863712,0.04810237535501853,0.027064323975129773,0.03239850997853269,-0.005334186003402918,0.05946283395366246,0.0015354423648903598,0.0017570556927927194,-0.00022161332790235962,0.0032924980576830793
26,0.03020628520927659,0.017862304633175303,0.012343980576101286,0.048068589842451895,0.027057182831558703,0.03231136966478435,-0.005254186833225649,0.059368552496343055,0.0015354832432852102,0.001756946188100214,-0.00022146294481500376,0.0032924294313854243
27,0.03020944776218973,0.017825537818591197,0.012383909943598531,0.048034985580780926,0.027049786165141494,0.032225165311846334,-0.00517537914670484,0.05927495147698783,0.0015355224521678933,0.0017568377851982853,-0.00022131533303039203,0.0032923602373661786
28,0.030212502432796686,0.017789056729340665,0.01242344570345602,0.04800155916213735,0.027042142971968917,0.03213987645437257,-0.005097733482403655,0.05918201942634149,0.0015355600443465842,0.0017567304553784285,-0.00022117041103184433,0.003292290499725013
29,0.030215450765764044,0.01775285645965002,0.012462594306114023,0.047968307225414064,0.02703426385832403,0.03205547931112874,-0.005021215452804709,0.05908974316945277,0.0015355960686916094,0.0017566242358981572,-0.00022102816720654772,0.003292220304589767
30,0.030218294993643664,0.01771693203081534,0.012501362962828323,0.047935227024459,0.02702616128437753,0.031971948186976185,-0.004945786902598656,0.05899810947135371,0.0015356306021570762,0.0017565190663829775,-0.00022088846422590124,0.0032921496685400535
31,0.03022103633969828,0.017681278687120952,0.012539757652577328,0.04790231502681923,0.027017840850306465,0.0318892685716353,-0.0048714277213288346,0.058907109421941765,0.0015356636776576408,0.001756414949857233,-0.00022075127219959223,0.0032920786275148738
32,0.030223676973444042,0.017645892184151427,0.012577784789292615,0.047869569157595465,0.027009316678509095,0.031807412210852634,-0.0047980955323435395,0.05881672888936173,0.001535695386904902,0.0017563118017488288,-0.00022061641484392687,0.0032920071886537307
33,0.0302262183558882,0.01761076762430732,0.01261545073158088,0.04783698598019552,0.027000591815625006,0.03172636649202675,-0.004725774676401746,0.05872695830765176,0.0015357257527875178,0.001756209601299958,-0.00022048384851244027,0.0032919353540874757
34,0.03022866244176624,0.017575900662470653,0.012652761779295588,0.04780456310423689,0.026991676227616727,0.031646112181430604,-0.004654435953813877,0.058637788409047334,0.0015357548281548406,0.0017561083558556068,-0.00022035352770076629,0.0032918631840104474
35,0.030231010708402624,0.01754128749543899,0.012689723212963633,0.047772298203841615,0.02698257942336089,0.03156662843464805,-0.004584049011287162,0.05854920785800895,0.0015357826593852084,0.0017560080483445416,-0.00022022538895933317,0.00329179070772975
36,0.03023326527261224,0.017506924038894287,0.012726341233717953,0.04774018931150653,0.026973310316288697,0.031487894728341445,-0.004514584412052748,0.05846120504463014,0.001535809308352195,0.0017559086173484753,-0.00022009930899628024,0.00329171792570067
37,0.030235427219002665,0.01747280684740891,0.012762620371593755,0.04770823406641157,0.026963870165792363,0.03140990370667632,-0.004446033540883954,0.058373773872468684,0.0015358347920006023,0.001755810033211247,-0.00021997524121064463,0.003291644825211849
38,0.03023749849361114,0.017438931706180764,0.012798566787430375,0.047676430199791904,0.026954269882672736,0.0313326348624251,-0.004378364979752365,0.05828690474509784,0.001535859161536297,0.0017557123350859735,-0.00021985317354967647,0.0032915714966222703
39,0.030236633326951683,0.01743460119692463,0.012802032130027053,0.04767123452387631,0.026953936544167317,0.03132716220420398,-0.004373225660036662,0.0582810987483713,0.0015358650574279614,0.0017556964012336448,-0.00021983134380568333,0.0032915614586616062
40,0.030238607651702394,0.01740098543819802,0.012837622213504374,0.047639593089900414,0.02694415996148403,0.03125069580645636,-0.004306535844972332,0.058194855767940395,0.0015358882222661038,0.0017555998609441446,-0.00021971163867804083,0.003291488083210248
41,0.030240494770523357,0.01736760429812945,0.012872890472393907,0.04760809906865281,0.026934237857658912,0.031174917520337853,-0.00424067966267894,0.05810915537799677,0.0015359103621624978,0.0017555040924748942,-0.0002195937303123964,0.0032914144546373923
42,0.030242296318557245,0.017334454039025792,0.012907842279531453,0.047576750357583034,0.026924174024966573,0.031099815606200003,-0.00417564158123343,0.058023989631166575,0.0015359315066410064,0.001755409107282918,-0.00021947760064191168,0.0032913406139239245
43,0.03024130325059901,0.017330195365427053,0.012911107885171958,0.04757149861602607,0.026923131642162992,0.031092750923364103,-0.00416961928120111,0.058015882565527095,0.001535937790060997,0.0017554037973098494,-0.00021946600724885254,0.003291341587370846
44,0.030241607979080286,0.017326970907529,0.012914637071551285,0.047568578886609286,0.026920712974855373,0.031086080009204663,-0.0041653670343492905,0.058006792984060036,0.0015359328140244473,0.001755396623742012,-0.00021946380971756474,0.0032913294377664593
45,0.0302433142200556,0.01729409450527094,0.01294921971478466,0.04753740872532654,0.02691050378582608,0.031011789894127794,-0.004101286108301714,0.05792229367995387,0.001535952877508347,0.0017553024977122553,-0.0002193496202039084,0.0032912553752206023
46,0.030244938231533198,0.017261441713356054,0.012983496518177144,0.04750637994488925,0.026900165178693435,0.03093814640339447,-0.004037981224701035,0.05783831158208791,0.0015359720107385414,0.001755209142982383,-0.0002192371322438417,0.0032911811537209247
47,0.030246481596840562,0.01722900924274511,0.013017472354095453,0.047475490839585674,0.026889701414512968,0.030865137068671517,-0.00397543565415855,0.05775483848318448,0.001535990241488824,0.001755116538371446,-0.00021912629688262204,0.0032911067798602704
48,0.030247945826639394,0.017196794468818846,0.013051151357820548,0.04744474029545824,0.026879117366875895,0.03079275235882055,-0.003913634991944654,0.05767186972569645,0.0015360075969562867,0.0017550246839568768,-0.00021901708700059006,0.0032910322809131635
49,0.030247397050714386,0.017193083453337723,0.013054313597376663,0.04744048050405211,0.026876935956323508,0.030785402860178362,-0.003908466903854855,0.057662338816501874,0.001536013819552193,0.0017550195393192638,-0.0002190057197670708,0.0032910333588714565
50,0.030248778364094408,0.017161104521786045,0.013087673842308363,0.04740988288588045,0.02686623395333576,0.030713698071508044,-0.003847464118172283,0.05757993202484381,0.0015360302588749654,0.0017549284144083505,-0.00021889815553338514,0.003290958673283316
