name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
dmf_0,0.0054727,2.60861e-18,0.0054727,0.0054727,0.0054727,0.0054727,0.0054727,1.73908e-18,0.0054727,0.0054727,0.0054727,0.0054727,4.88439e-09
dmf_6,0,0,0,0,0,0,0.00187504,0.00202553,6.1532e-08,0.0046149,-0.000150499,0.00390057,6.1532e-08
dmf_7,0,0,0,0,0,0,0.00175135,0.00199272,8.2362e-09,0.0044781,-0.000241372,0.00374407,8.2362e-09
dmf_8,0,0,0,0,0,0,0.00165093,0.00195229,1.1024e-09,0.0043453,-0.000301358,0.00360323,1.1024e-09
nh3_1,0.000117647,1.35865e-19,0.000117647,0.000117647,0.000117647,0.000117647,2.53493e-07,7.56205e-07,9.9474e-15,5.3226e-06,-5.02712e-07,1.0097e-06,0.000112324
nh3_2,0.000588235,4.34769e-19,0.000588235,0.000588235,0.000588235,0.000588235,8.11684e-06,1.90978e-05,1.5426e-13,0.00011552,-1.0981e-05,2.72146e-05,0.000472715
nh3_3,0.00176471,8.69538e-19,0.00176471,0.00176471,0.00176471,0.00176471,3.21683e-05,6.80318e-05,6.2762e-13,0.00038381,-3.58636e-05,0.0001002,0.0013809
nh3_4,0.00294118,8.69538e-19,0.00294118,0.00294118,0.00294118,0.00294118,7.23012e-05,0.000142604,1.6228e-12,0.00076378,-7.03028e-05,0.000214905,0.0021774
nh3_5,0.00352941,1.73908e-18,0.00352941,0.00352941,0.00352941,0.00352941,0.000125472,0.000234444,3.3337e-12,0.0011999,-0.000108972,0.000359917,0.00232951
nh3_6,0.00411765,8.69538e-19,0.00411765,0.00411765,0.00411765,0.00411765,0.000188228,0.000336122,5.961e-12,0.0016497,-0.000147894,0.00052435,0.00246795
nh3_7,0.00382353,1.73908e-18,0.00382353,0.00382353,0.00382353,0.00382353,0.000257504,0.000442042,9.7198e-12,0.0020856,-0.000184538,0.000699546,0.00173793
nh3_8,0.00352941,1.73908e-18,0.00352941,0.00352941,0.00352941,0.00352941,0.000330814,0.000548275,1.485e-11,0.0024917,-0.000217461,0.000879089,0.00103771
