group,mean_change,std_change,num_at_near_lbound,percent_at_near_lbound,num_at_near_ubound,percent_at_near_ubound,initial_cv,current_cv
dmfdma,0.002115726865349452316,0.0029024198946775579995,61,30.5,0,0,0.96583389748005477049,0.96578543154302798346
dmamma,8.4986412325841224555e-05,0.00037401265376440742021,8,4,2,1,0.55797137759704806825,0.55796881651581242689
mmanh3,0.00054312070012950885642,4.05407065429819389e-05,76,38,0,0,1.1912117778498867438,1.191204825244228882
