real_name,dmf_0,dmf_1,dmf_2,dmf_3,dmf_4,dmf_5,dmf_6,dmf_7,dmf_8,dma_0,dma_1,dma_2,dma_3,dma_4,dma_5,dma_6,dma_7,dma_8,nh3_0,nh3_1,nh3_2,nh3_3,nh3_4,nh3_5,nh3_6,nh3_7,nh3_8
0,0.0054726999999999996135,0.0042756000000000000602,0.0029524999999999998294,0.002038900000000000174,0.0014079999999999999634,0.00097227000000000001357,0.00067139999999999994823,0.0004636400000000000265,0.00032016999999999999236,0,0.001096600000000000092,0.0020067999999999999901,0.0023528999999999997833,0.0023733000000000000623,0.0022182999999999998726,0.0019802999999999999423,0.0017145999999999999349,0.0014526000000000000717,0,1.9888999999999999768e-11,4.9984999999999998513e-10,5.6310999999999997141e-09,2.911699999999999861e-08,9.1235999999999997201e-08,2.1241000000000000745e-07,4.080000000000000006e-07,6.8650000000000001287e-07
1,0.0054726999999999996135,0.005364100000000000118,0.005205300000000000378,0.0050511000000000002078,0.0049015999999999998807,0.0047564000000000000376,0.0046156000000000000846,0.0044789000000000000687,0.0043462999999999999898,0,9.9937000000000002177e-05,0.00021806000000000000947,0.00030576000000000002699,0.00036991999999999998191,0.00041588999999999997715,0.00044785000000000001674,0.00046901000000000001066,0.00048188000000000001449,0,9.4297999999999998415e-10,1.785699999999999903e-07,1.7818000000000000335e-06,6.7379000000000003207e-06,1.6430000000000000241e-05,3.1612999999999997006e-05,5.2630000000000002626e-05,7.9554000000000004377e-05
2,0.0054726999999999996135,0.0040886000000000003937,0.0026400999999999998254,0.001704800000000000022,0.0011008999999999999255,0.00071086000000000000749,0.00045902999999999997407,0.00029640999999999998946,0.00019139999999999999028,0,0.0012510999999999999985,0.0021743000000000001042,0.0024226999999999998536,0.0023237999999999999975,0.0020666000000000000342,0.0017565000000000000318,0.0014488000000000000878,0.001170000000000000033,0,3.1494999999999999787e-07,1.6860000000000001206e-05,7.7651999999999994466e-05,0.00018902999999999999772,0.00034597000000000002317,0.00053927000000000000542,0.00075883999999999999196,0.00099529999999999996078
3,0.0054726999999999996135,0.005364100000000000118,0.005205300000000000378,0.0050511000000000002078,0.0049015999999999998807,0.0047564000000000000376,0.0046156000000000000846,0.0044789000000000000687,0.0043462999999999999898,0,9.4988000000000006023e-05,0.000193319999999999999,0.00025478000000000002381,0.00029185000000000001956,0.00031284999999999998791,0.0003232700000000000135,0.00032676999999999999016,0.00032578000000000001488,0,9.3610999999999998616e-10,1.6804999999999999933e-07,1.6216000000000000681e-06,5.992000000000000398e-06,1.4347000000000000025e-05,2.7183000000000000457e-05,4.4657999999999998316e-05,6.673400000000000176e-05
4,0.0054726999999999996135,0.0041130999999999997424,0.0026800000000000000905,0.0017462000000000000525,0.0011376999999999999526,0.00074131999999999995642,0.00048301000000000002569,0.00031471999999999999541,0.00020505999999999999163,0,0.001340400000000000055,0.0026890999999999998238,0.003495299999999999796,0.003950900000000000245,0.0041808000000000001412,0.0042664000000000000534,0.0042605000000000003979,0.0041974999999999998423,0,3.193100000000000068e-10,4.9705000000000000721e-08,5.52980000000000019e-07,2.277800000000000028e-06,5.8775000000000000543e-06,1.1728000000000000198e-05,1.9998999999999999443e-05,3.0740000000000000451e-05
5,0.0054726999999999996135,0.005364100000000000118,0.005205300000000000378,0.0050511000000000002078,0.0049015999999999998807,0.0047564000000000000376,0.0046156000000000000846,0.0044789000000000000687,0.0043462999999999999898,0,9.3159999999999995742e-05,0.00018478999999999999766,0.00023828999999999999704,0.00026809000000000001666,0.0002831800000000000094,0.00028917999999999999261,0.0002896099999999999868,0.00028665000000000000159,0,3.2260999999999998507e-09,5.0778000000000001131e-07,4.0941000000000003241e-06,1.3445999999999999673e-05,2.9807000000000001083e-05,5.3510000000000000977e-05,8.4413000000000006475e-05,0.00012213999999999999272
6,0.0054726999999999996135,0.0030934000000000000559,0.0013145999999999999699,0.00055862999999999995559,0.00023739000000000000227,0.00010087999999999999637,4.2870999999999996621e-05,1.821800000000000074e-05,7.7419999999999997365e-06,0,0.0022104999999999997914,0.0033890999999999999251,0.003438200000000000197,0.0030907000000000000445,0.0026424999999999998837,0.0022068999999999999208,0.0018220000000000000518,0.0014952999999999999712,0,1.0248999999999999196e-06,3.6638999999999999368e-05,0.00014515999999999999932,0.00032369000000000001287,0.00055646000000000004921,0.00082614999999999999634,0.0011175000000000000037,0.0014182999999999999427
7,0.0054726999999999996135,0.005364100000000000118,0.005205300000000000378,0.0050511000000000002078,0.0049015999999999998807,0.0047564000000000000376,0.0046156000000000000846,0.0044789000000000000687,0.0043462999999999999898,0,9.9863000000000002546e-05,0.00021766999999999999457,0.00030491999999999997405,0.00036858000000000002523,0.00041406000000000000314,0.00044555000000000001504,0.00046630000000000000442,0.00047882000000000002685,0,2.0667999999999999352e-09,3.6851000000000000896e-07,3.2826000000000001316e-06,1.1505000000000000808e-05,2.6695000000000001063e-05,4.9611000000000003241e-05,8.0456000000000003534e-05,0.00011908000000000000507
8,0.0054726999999999996135,0.0046455999999999997296,0.0036334000000000001712,0.0028416999999999999552,0.0022225000000000000831,0.0017382000000000000749,0.0013595000000000000313,0.0010633000000000000958,0.00083157999999999994943,0,0.00078832000000000001464,0.0016257999999999999449,0.0021480000000000001696,0.0024410000000000000274,0.0025698999999999999622,0.0025836999999999999723,0.0025189999999999999718,0.0024026999999999998012,0,7.3441000000000005841e-12,1.3398000000000001193e-10,1.0264000000000000952e-09,5.7271000000000002097e-09,2.0715000000000000534e-08,5.5052999999999996728e-08,1.1905999999999999542e-07,2.2271999999999999852e-07
9,0.0054726999999999996135,0.0038551000000000001933,0.0022791999999999998892,0.0013474999999999999565,0.0007966400000000000434,0.00047098000000000002059,0.00027845000000000001911,0.00016462000000000000612,9.7328000000000000559e-05,0,0.0015903000000000000035,0.0030503999999999999865,0.0038138999999999998423,0.0041703000000000000486,0.0042906000000000003164,0.0042754999999999997867,0.0041843999999999995781,0.0040522999999999999993,0,5.1989000000000003949e-12,8.4195999999999995456e-11,4.9750999999999997046e-10,2.3608999999999999846e-09,8.2186000000000005499e-09,2.1611000000000000749e-08,4.6667999999999998077e-08,8.7706000000000004635e-08
