name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
dmf_0,0.0054727,2.60861e-18,0.0054727,0.0054727,0.0054727,0.0054727,0.0054727,1.73908e-18,0.0054727,0.0054727,0.0054727,0.0054727,4.88439e-09
dmf_6,0,0,0,0,0,0,0.00187557,0.00202621,6.1525e-08,0.0046163,-0.000150642,0.00390179,6.1525e-08
dmf_7,0,0,0,0,0,0,0.00175198,0.00199354,8.2352e-09,0.0044798,-0.000241558,0.00374552,8.2352e-09
dmf_8,0,0,0,0,0,0,0.00165163,0.0019532,1.1023e-09,0.0043473,-0.00030157,0.00360483,1.1023e-09
nh3_1,0.000117647,1.35865e-19,0.000117647,0.000117647,0.000117647,0.000117647,2.53486e-07,7.56205e-07,9.9286e-15,5.3226e-06,-5.02719e-07,1.00969e-06,0.000112324
nh3_2,0.000588235,4.34769e-19,0.000588235,0.000588235,0.000588235,0.000588235,8.11647e-06,1.90978e-05,1.5397e-13,0.00011552,-1.09814e-05,2.72143e-05,0.000472715
nh3_3,0.00176471,8.69538e-19,0.00176471,0.00176471,0.00176471,0.00176471,3.21662e-05,6.80322e-05,6.2646e-13,0.00038381,-3.58661e-05,0.000100198,0.0013809
nh3_4,0.00294118,8.69538e-19,0.00294118,0.00294118,0.00294118,0.00294118,7.22953e-05,0.000142605,1.6198e-12,0.00076378,-7.03101e-05,0.000214901,0.0021774
nh3_5,0.00352941,1.73908e-18,0.00352941,0.00352941,0.00352941,0.00352941,0.00012546,0.000234446,3.3276e-12,0.0011999,-0.000108986,0.000359906,0.00232951
nh3_6,0.00411765,8.69538e-19,0.00411765,0.00411765,0.00411765,0.00411765,0.000188208,0.000336128,5.95e-12,0.0016497,-0.00014792,0.000524336,0.00246795
nh3_7,0.00382353,1.73908e-18,0.00382353,0.00382353,0.00382353,0.00382353,0.000257473,0.000442048,9.7019e-12,0.0020856,-0.000184575,0.000699521,0.00173793
nh3_8,0.00352941,1.73908e-18,0.00352941,0.00352941,0.00352941,0.00352941,0.00033077,0.000548281,1.4822e-11,0.0024917,-0.00021751,0.000879051,0.00103771
