name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
dmf_0,0.0820906,2.78252e-17,0.0820906,0.0820906,0.0820906,0.0820906,0.082091,5.56505e-17,0.082091,0.082091,0.082091,0.082091,4.26734e-07
dmf_1,0.0752497,0,0.0752497,0.0752497,0.0752497,0.0752497,0.059925,0.0107629,0.031298,0.072292,0.0491621,0.0706879,0.00295769
