iteration,num_reals,current_lambda,current_comp_mean_phi,current_comp_std_phi,lambda_scale_fac,lambda,comp_mean_phi,comp_std_phi
20,20,1.35085e-05,0.0058619,0.00332449,1,1.62102e-05,0.00477368,0.00265127
20,20,1.35085e-05,0.0058619,0.00332449,1.1,1.62102e-05,0.00477065,0.00265091
21,20,1.21577e-05,0.00581473,0.00331621,0.75,1.45892e-05,0.0059227,0.00418514
21,20,1.21577e-05,0.00581473,0.00331621,1,1.45892e-05,0.00591264,0.00418241
21,20,1.21577e-05,0.00581473,0.00331621,1.1,1.45892e-05,0.00590835,0.00418125
22,20,1.09419e-05,0.00576907,0.0033088,0.75,1.31303e-05,0.00509607,0.00279187
22,20,1.09419e-05,0.00576907,0.0033088,1,1.31303e-05,0.00508734,0.00279131
22,20,1.09419e-05,0.00576907,0.0033088,1.1,1.31303e-05,0.00508348,0.00279112
23,20,9.84771e-06,0.00572452,0.00330152,0.75,1.18173e-05,0.00660778,0.00386162
23,20,9.84771e-06,0.00572452,0.00330152,1,1.18173e-05,0.00659897,0.00385963
23,20,9.84771e-06,0.00572452,0.00330152,1.1,1.18173e-05,0.00659525,0.00385898
24,20,8.86294e-06,0.00572043,0.00329947,0.75,1.06355e-05,0.00610972,0.00431453
24,20,8.86294e-06,0.00572043,0.00329947,1,1.06355e-05,0.00610262,0.00431403
24,20,8.86294e-06,0.00572043,0.00329947,1.1,1.06355e-05,0.0060999,0.00431374
25,20,7.97664e-06,0.00571736,0.00329879,0.75,9.57197e-06,0.00527567,0.00219219
25,20,7.97664e-06,0.00571736,0.00329879,1,9.57197e-06,0.00526601,0.00219072
25,20,7.97664e-06,0.00571736,0.00329879,1.1,9.57197e-06,0.00526176,0.00218999
26,20,7.17898e-06,0.00567421,0.00329229,0.75,8.61478e-06,0.00446648,0.0025051
26,20,7.17898e-06,0.00567421,0.00329229,1,8.61478e-06,0.00445566,0.00249804
26,20,7.17898e-06,0.00567421,0.00329229,1.1,8.61478e-06,0.00445105,0.00249539
27,20,6.46108e-06,0.00563214,0.00328634,0.75,7.7533e-06,0.00544441,0.00395437
27,20,6.46108e-06,0.00563214,0.00328634,1,7.7533e-06,0.00543681,0.00395468
27,20,6.46108e-06,0.00563214,0.00328634,1.1,7.7533e-06,0.00543367,0.00395498
28,20,5.81497e-06,0.00559099,0.00328057,0.75,6.97797e-06,0.00461788,0.00261529
28,20,5.81497e-06,0.00559099,0.00328057,1,6.97797e-06,0.00460712,0.00261241
28,20,5.81497e-06,0.00559099,0.00328057,1.1,6.97797e-06,0.00460383,0.00261109
29,20,5.23348e-06,0.00555094,0.0032752,0.75,6.28017e-06,0.00504568,0.00292741
29,20,5.23348e-06,0.00555094,0.0032752,1,6.28017e-06,0.00503771,0.00292684
29,20,5.23348e-06,0.00555094,0.0032752,1.1,6.28017e-06,0.00503425,0.00292668
30,20,4.71013e-06,0.00551201,0.00327029,0.75,5.65215e-06,0.00553437,0.0035683
30,20,4.71013e-06,0.00551201,0.00327029,1,5.65215e-06,0.00552495,0.00356355
30,20,4.71013e-06,0.00551201,0.00327029,1.1,5.65215e-06,0.00552119,0.00356111
31,20,4.23912e-06,0.00547379,0.00326536,0.75,5.08694e-06,0.00528844,0.00484598
31,20,4.23912e-06,0.00547379,0.00326536,1,5.08694e-06,0.00528192,0.00484478
31,20,4.23912e-06,0.00547379,0.00326536,1.1,5.08694e-06,0.00527921,0.00484431
32,20,3.8152e-06,0.00543679,0.00326075,0.75,4.57825e-06,0.00472976,0.0021392
32,20,3.8152e-06,0.00543679,0.00326075,1,4.57825e-06,0.00472019,0.00213611
32,20,3.8152e-06,0.00543679,0.00326075,1.1,4.57825e-06,0.00471605,0.00213491
33,20,3.43368e-06,0.00540037,0.00325646,0.75,4.12042e-06,0.00508701,0.00311427
33,20,3.43368e-06,0.00540037,0.00325646,1,4.12042e-06,0.00507988,0.00311189
33,20,3.43368e-06,0.00540037,0.00325646,1.1,4.12042e-06,0.005077,0.00311159
34,20,3.09032e-06,0.00536493,0.00325231,0.75,3.70838e-06,0.00560713,0.00348502
34,20,3.09032e-06,0.00536493,0.00325231,1,3.70838e-06,0.00560109,0.00348417
34,20,3.09032e-06,0.00536493,0.00325231,1.1,3.70838e-06,0.00559868,0.00348371
35,20,2.78128e-06,0.00533025,0.00324827,0.75,3.33754e-06,0.00507714,0.00395039
35,20,2.78128e-06,0.00533025,0.00324827,1,3.33754e-06,0.00507024,0.00394984
35,20,2.78128e-06,0.00533025,0.00324827,1.1,3.33754e-06,0.00506742,0.00394949
36,20,2.50316e-06,0.00529654,0.00324448,0.75,3.00379e-06,0.00456174,0.00231649
36,20,2.50316e-06,0.00529654,0.00324448,1,3.00379e-06,0.00455402,0.0023162
36,20,2.50316e-06,0.00529654,0.00324448,1.1,3.00379e-06,0.0045508,0.00231574
37,20,2.25284e-06,0.00526322,0.0032408,0.75,2.70341e-06,0.00507208,0.00349983
37,20,2.25284e-06,0.00526322,0.0032408,1,2.70341e-06,0.00506289,0.00349804
37,20,2.25284e-06,0.00526322,0.0032408,1.1,2.70341e-06,0.00505931,0.00349729
38,20,2.02756e-06,0.0052308,0.00323718,0.75,2.43307e-06,0.00459077,0.00265603
38,20,2.02756e-06,0.0052308,0.00323718,1,2.43307e-06,0.00458336,0.00265236
38,20,2.02756e-06,0.0052308,0.00323718,1.1,2.43307e-06,0.00458077,0.00265029
39,20,1.8248e-06,0.00519907,0.00323364,0.75,2.18976e-06,0.00555135,0.00378986
39,20,1.8248e-06,0.00519907,0.00323364,1,2.18976e-06,0.00554273,0.00378801
39,20,1.8248e-06,0.00519907,0.00323364,1.1,2.18976e-06,0.00553911,0.00378722
40,20,1.64232e-06,0.00519525,0.00323228,0.75,1.97078e-06,0.00355413,0.00212501
40,20,1.64232e-06,0.00519525,0.00323228,1,1.97078e-06,0.00354935,0.00212288
40,20,1.64232e-06,0.00519525,0.00323228,1.1,1.97078e-06,0.00354709,0.00212202
41,20,1.47809e-06,0.00516428,0.00322895,0.75,1.77371e-06,0.00452576,0.00296433
41,20,1.47809e-06,0.00516428,0.00322895,1,1.77371e-06,0.00451976,0.00296252
41,20,1.47809e-06,0.00516428,0.00322895,1.1,1.77371e-06,0.00451753,0.00296166
42,20,1.33028e-06,0.00513394,0.0032257,0.75,1.59634e-06,0.00352271,0.00199143
42,20,1.33028e-06,0.00513394,0.0032257,1,1.59634e-06,0.00351768,0.00198999
42,20,1.33028e-06,0.00513394,0.0032257,1.1,1.59634e-06,0.00351537,0.00198904
43,20,1.19725e-06,0.00510424,0.00322251,0.75,1.4367e-06,0.00603005,0.00462397
43,20,1.19725e-06,0.00510424,0.00322251,1,1.4367e-06,0.00602277,0.00462314
43,20,1.19725e-06,0.00510424,0.00322251,1.1,1.4367e-06,0.0060202,0.00462246
44,20,1.07753e-06,0.00510108,0.00322106,0.75,1.29303e-06,0.00544519,0.00365674
44,20,1.07753e-06,0.00510108,0.00322106,1,1.29303e-06,0.005439,0.00365571
44,20,1.07753e-06,0.00510108,0.00322106,1.1,1.29303e-06,0.00543592,0.00365555
45,20,9.69774e-07,0.00509827,0.00322034,0.75,1.16373e-06,0.00444889,0.00243694
45,20,9.69774e-07,0.00509827,0.00322034,1,1.16373e-06,0.00444216,0.00243519
45,20,9.69774e-07,0.00509827,0.00322034,1.1,1.16373e-06,0.0044392,0.00243433
46,20,8.72796e-07,0.0050692,0.00321719,0.75,1.04736e-06,0.00474659,0.00385078
46,20,8.72796e-07,0.0050692,0.00321719,1,1.04736e-06,0.00473943,0.00384938
46,20,8.72796e-07,0.0050692,0.00321719,1.1,1.04736e-06,0.0047376,0.0038483
47,20,7.85517e-07,0.00504074,0.0032142,0.75,9.4262e-07,0.00479043,0.00297493
47,20,7.85517e-07,0.00504074,0.0032142,1,9.4262e-07,0.00478452,0.00297376
47,20,7.85517e-07,0.00504074,0.0032142,1.1,9.4262e-07,0.00478243,0.00297372
48,20,7.06965e-07,0.0050127,0.00321128,0.75,8.48358e-07,0.0049646,0.00390475
48,20,7.06965e-07,0.0050127,0.00321128,1,8.48358e-07,0.00495891,0.00390491
48,20,7.06965e-07,0.0050127,0.00321128,1.1,8.48358e-07,0.00495669,0.00390495
49,20,6.36269e-07,0.00498537,0.00320825,0.75,7.63522e-07,0.00578647,0.00396267
49,20,6.36269e-07,0.00498537,0.00320825,1,7.63522e-07,0.00578105,0.00396169
49,20,6.36269e-07,0.00498537,0.00320825,1.1,7.63522e-07,0.00577783,0.00396172
50,20,5.72642e-07,0.00498247,0.00320719,0.75,6.8717e-07,0.00405263,0.00297017
50,20,5.72642e-07,0.00498247,0.00320719,1,6.8717e-07,0.00404534,0.00296942
50,20,5.72642e-07,0.00498247,0.00320719,1.1,6.8717e-07,0.00404369,0.00296911
