iteration,total_runs,obs_realization,par_realization,gdmf,gdma,gmma
0,200,105,105,0.00298553,0.00431101,0.00946764
0,200,106,106,0.00112186,0.00412399,0.00212171
0,200,107,107,0.00341042,0.00572876,0.000158887
0,200,108,108,0.00136999,0.00259974,0.000104949
0,200,109,109,0.00343328,0.00748042,0.00208789
0,200,110,110,0.000304097,0.00199755,0.0021679
0,200,111,111,0.000402049,0.00339794,0.001285
0,200,112,112,0.00119756,0.00215815,0.0001711
0,200,113,113,0.000601624,0.00300742,0.00215897
0,200,114,114,0.00341042,0.000524162,0.00227217
0,200,115,115,0.00341042,0.00479532,6.21871e-05
0,200,116,116,0.00341042,0.000524162,0.00227527
0,200,117,117,0.00189982,0.000686867,0.000315617
0,200,118,118,0.00341042,0.000524162,0.00227962
0,200,119,119,0.000881422,0.00479596,0.000820328
0,200,120,120,0.00191583,0.00196059,0.000207103
0,200,121,121,0.00108468,0.00405381,0.00212237
0,200,122,122,0.00120983,0.00428615,0.0021292
0,200,123,123,0.00212455,0.00490423,0.0095428
0,200,124,124,0.00122872,0.00432036,0.00214251
0,200,125,125,0.000393664,0.00436691,0.00153692
0,200,126,126,0.00029117,0.00112055,0.00218881
0,200,127,127,0.000664526,0.000490457,0.00221406
0,200,128,128,0.000556501,0.000456105,0.000528608
0,200,129,129,0.000398818,0.000120305,0.000163725
0,200,130,130,0.00341042,0.000524162,0.00227418
0,200,131,131,0.00162625,0.000210263,0.00224156
0,200,132,132,0.00341042,0.00280424,0.000199845
0,200,133,133,0.00109285,0.00406939,0.00212209
0,200,134,134,0.000287087,0.000186834,0.000178522
0,200,135,135,0.000854495,0.00359303,0.00215964
0,200,136,136,0.0013804,0.00122184,0.00252365
0,200,137,137,0.000694996,0.000288937,0.000499643
0,200,138,138,0.00341042,0.000524162,0.00227217
0,200,139,139,0.00246743,0.000289085,0.00225774
0,200,140,140,0.00341042,0.000524162,0.00227673
0,200,141,141,0.00341042,0.00298261,0.000183066
0,200,142,142,0.000275014,0.00120995,0.00220248
0,200,143,143,0.000603534,0.00301235,0.0021424
0,200,144,144,0.00341042,0.00099182,0.00127878
0,200,145,145,0.000288417,0.0019031,0.00219039
0,200,146,146,0.00379637,0.00453513,0.0105244
0,200,147,147,0.00251754,0.00432578,0.000179248
0,200,148,148,0.000621871,0.00418907,0.00526456
0,200,149,149,0.00150895,0.00480429,0.00210898
0,200,150,150,0.00341042,0.000524162,0.00227217
0,200,151,151,0.00363805,0.00772456,0.0020613
0,200,152,152,0.00341042,0.00480383,5.04007e-05
0,200,153,153,0.00101743,0.000315008,0.000321143
0,200,154,154,0.00341042,0.000524162,0.00227217
0,200,155,155,0.0027135,0.0065724,0.00207948
0,200,156,156,0.00246802,0.00268601,0.00459535
0,200,157,157,0.00245541,0.00622435,0.00209882
0,200,158,158,0.00134423,0.00452479,0.00211389
0,200,159,159,0.00232766,0.00175267,0.00397661
0,200,160,160,0.000566272,0.00481284,0.0051813
0,200,161,161,0.00146932,0.000217655,0.00224636
0,200,162,162,0.00219585,0.00312317,0.0038842
0,200,163,163,0.000338435,0.00184028,0.000855117
0,200,164,164,0.00147218,0.00415675,0.00035115
0,200,165,165,0.00341042,0.00063912,0.00189189
0,200,166,166,0.00484473,0.00906157,0.00204097
0,200,167,167,0.00098675,0.0043589,0.00657594
0,200,168,168,0.000262069,0.00167292,0.00218152
0,200,169,169,0.00341042,0.000524162,0.00227683
0,200,170,170,0.00164386,0.00375212,0.000304484
0,200,171,171,0.00119333,0.00425617,0.00211869
0,200,172,172,0.00104744,0.00465131,0.00109889
0,200,173,173,0.00212897,0.00166155,0.00372452
0,200,174,174,0.000341383,0.000944094,0.0022129
0,200,175,175,0.0021936,0.00463646,0.00775037
0,200,176,176,0.000822031,0.00350103,0.00428471
0,200,177,177,0.00270083,0.00655553,0.00208959
0,200,178,178,0.00341042,0.0037931,8.38493e-05
0,200,179,179,0.000275535,0.00331568,0.00153812
0,200,180,180,0.000266962,0.00173048,0.00217125
0,200,181,181,0.000303442,0.00199393,0.00216473
0,200,182,182,0.00160578,0.00212827,0.00335758
0,200,183,183,0.000304097,0.00199755,0.00216591
0,200,184,184,0.000910954,0.00466956,0.00511608
0,200,185,185,0.00259548,0.00641483,0.00208921
0,200,186,186,0.00341042,0.00090316,0.00136553
0,200,187,187,0.00341042,0.00098859,0.00131285
0,200,188,188,0.00149637,0.00478335,0.00210934
0,200,189,189,0.00348096,0.00753774,0.00207209
0,200,190,190,0.00235314,0.000269347,0.00226486
0,200,191,191,0.00068258,0.00320762,0.00213991
0,200,192,192,0.00313317,0.00434599,0.00966248
0,200,193,193,0.0011613,0.000263793,0.00223011
0,200,194,194,0.00216005,0.0033493,0.00678995
0,200,195,195,0.00341042,0.00537802,0.000137385
0,200,196,196,0.000269012,0.00216201,0.00127668
0,200,197,197,0.00393513,0.00806893,0.00205654
0,200,198,198,0.00041164,0.00245117,0.00215944
0,200,base,base,0.000278152,3.87217e-05,0.000117366
1,440,0,0,0.00028769,0.000228776,0.000363181
1,440,1,1,0.00195545,0.000371515,0.00114975
1,440,2,2,0.00038463,0.000285934,0.000218346
1,440,3,3,0.00304445,0.00430713,7.33732e-05
1,440,4,4,0.000368344,0.00223403,0.00210472
1,440,5,5,0.00336866,0.00505687,6.44095e-05
1,440,6,6,0.00160411,0.00483648,0.00205329
1,440,7,7,0.00195288,0.000411914,0.0010842
1,440,8,8,0.000297796,0.00106212,0.00214974
1,440,9,9,0.000578961,0.00287439,0.00208024
1,440,10,10,0.00162011,0.00496004,0.00877508
1,440,11,11,0.000360309,0.000871404,0.00217739
1,440,12,12,0.00123412,0.000935212,0.000131567
1,440,13,13,0.00207034,0.00100904,0.00219273
1,440,14,14,0.00144781,0.00226799,6.10378e-05
1,440,15,15,0.00051176,0.00512418,0.0012555
1,440,16,16,0.00307553,0.00200507,0.00332605
1,440,17,17,0.0033698,0.00397188,7.47111e-05
1,440,18,18,0.00104243,0.00028885,0.00220335
1,440,19,19,0.00216235,0.00328283,0.000123767
1,440,20,20,0.000441837,0.00161471,0.000244285
1,440,21,21,0.00370419,0.00761098,0.00195112
1,440,22,22,0.00303048,0.00463435,5.75862e-05
1,440,23,23,0.000304422,0.00103555,0.0021508
1,440,24,24,0.000599785,0.000530856,0.00219205
1,440,25,25,0.00188403,0.00391543,0.00498732
1,440,26,26,0.00063291,0.00300943,0.00207626
1,440,27,27,0.000953971,0.0014313,0.00228026
1,440,28,28,0.00286954,0.00240737,0.000177985
1,440,29,29,0.00238693,0.00116811,0.00226707
1,440,30,30,0.00025871,0.00133084,0.0021371
1,440,31,31,0.0033681,0.00589347,0.000181364
1,440,32,32,0.00124354,0.00230964,0.000751609
1,440,33,33,0.000414924,0.000761515,0.00216549
1,440,34,34,0.00337214,0.000514458,0.0022642
1,440,35,35,0.000504918,0.00267551,0.00208688
1,440,36,36,0.00337214,0.000514458,0.0022652
1,440,37,37,0.0014159,0.00453197,0.00204761
1,440,38,38,0.00169106,0.00497263,0.00201838
1,440,39,39,0.000260894,0.000814822,0.0012124
1,440,40,40,0.00337103,0.00145276,0.000798977
1,440,41,41,0.00336862,0.00499423,8.6087e-05
1,440,42,42,0.00337214,0.000514458,0.00226381
1,440,43,43,0.00336748,0.00556356,4.84363e-05
1,440,44,44,0.000258759,0.00133054,0.00215579
1,440,45,45,0.00248429,0.00570868,0.0115373
1,440,46,46,0.00034989,0.00360743,0.00185092
1,440,47,47,0.00337214,0.000514458,0.00226477
1,440,48,48,0.00127695,0.00355654,0.00588407
1,440,49,49,0.00253228,0.000764751,0.000934979
1,440,50,50,0.0033704,0.00263101,0.000230619
1,440,51,51,0.00105331,0.00389427,0.00205763
1,440,52,52,0.00253454,0.00617598,0.00199198
1,440,53,53,0.000301865,0.000839413,0.00098306
1,440,54,54,0.00310634,0.00102927,0.000990523
1,440,55,55,0.00137584,0.00352078,0.00358515
1,440,56,56,0.00336862,0.0047241,7.28598e-05
1,440,57,57,0.0033698,0.00275559,0.000304795
1,440,58,58,0.00336866,0.00343759,0.000189165
1,440,59,59,0.000709992,0.00357519,0.00320402
1,440,60,60,0.000677874,0.0037138,0.00496973
1,440,61,61,0.000554136,0.000151752,7.09454e-05
1,440,62,62,0.0035843,0.00133053,0.00113687
1,440,63,63,0.00244898,0.00028635,0.00224498
1,440,64,64,0.000315008,0.00200316,0.00212674
1,440,65,65,0.000513389,0.00189818,0.00143463
1,440,66,66,0.0023195,0.00107939,0.00236174
1,440,67,67,0.0033698,0.00359158,9.66755e-05
1,440,68,68,0.000549062,0.000580632,0.00217937
1,440,69,69,0.0033698,0.00401241,7.40603e-05
1,440,70,70,0.000299007,0.000137325,0.000101189
1,440,71,71,0.00176005,0.00507848,0.00203581
1,440,72,72,0.00246244,0.000351957,0.00177307
1,440,73,73,0.00192006,0.00534512,0.000575464
1,440,74,74,0.000444563,0.000713088,0.00218564
1,440,75,75,0.004041,0.00798924,0.00194205
1,440,76,76,0.000265664,0.000121016,0.0003117
1,440,77,77,0.00295129,0.00155641,0.0029187
1,440,78,78,0.00337214,0.000514458,0.00226327
1,440,79,79,0.00297247,0.00361459,0.00806689
1,440,80,80,0.000399738,0.000173703,0.000235056
1,440,81,81,0.00337214,0.000514458,0.00226327
1,440,82,82,0.00326171,0.00308954,0.00529335
1,440,83,83,0.00337214,0.000514458,0.00226406
1,440,84,84,0.00337158,0.000820195,0.00151271
1,440,85,85,0.0033698,0.00394607,7.52236e-05
1,440,86,86,0.00026831,0.00122638,0.00214201
1,440,87,87,0.000262199,0.00123828,0.00209847
1,440,88,88,0.00213115,0.00191769,0.00424114
1,440,89,89,0.000714898,0.0032014,0.0021021
1,440,90,90,0.00129073,0.00403457,0.00482483
1,440,91,91,0.000764411,0.00357594,0.00427903
1,440,92,92,0.00317203,0.00698364,0.00196611
1,440,93,93,0.00337214,0.000514458,0.00226327
1,440,94,94,0.00164862,0.00490694,0.00203327
1,440,95,95,0.00069264,0.00270815,0.00255767
1,440,96,96,0.00113393,0.00404302,0.00205475
1,440,97,97,0.00294355,0.0029194,0.000112832
1,440,98,98,0.00273589,0.000345078,0.00225573
1,440,99,99,0.000757271,0.00329608,0.00208004
1,440,100,100,0.00201801,0.00546142,0.00200529
1,440,101,101,0.000264935,0.000297754,0.000126943
1,440,102,102,0.00177265,0.00385682,0.00499325
1,440,103,103,0.00337096,0.00144256,0.000765235
1,440,104,104,0.000260092,0.00129471,0.000953162
1,440,105,105,0.00298188,0.00430103,0.00944464
1,440,106,106,0.00111869,0.00401568,0.00204645
1,440,107,107,0.0033681,0.00571915,0.000165865
1,440,108,108,0.0013576,0.00258794,0.000105818
1,440,109,109,0.00342815,0.00729005,0.00198872
1,440,110,110,0.000303772,0.00194456,0.0021164
1,440,111,111,0.000400394,0.00339004,0.00128501
1,440,112,112,0.0011878,0.00214689,0.00017187
1,440,113,113,0.000599988,0.00292755,0.00209927
1,440,114,114,0.00337214,0.000514458,0.00226327
1,440,115,115,0.00336866,0.00478056,6.39658e-05
1,440,116,116,0.00337214,0.000514458,0.00226663
1,440,117,117,0.00189592,0.000685414,0.000314442
1,440,118,118,0.00337214,0.000514458,0.00227136
1,440,119,119,0.000874018,0.00479,0.000825621
1,440,120,120,0.00191165,0.00193296,0.000199735
1,440,121,121,0.00108154,0.00394741,0.00204778
1,440,122,122,0.00120644,0.00417347,0.00205516
1,440,123,123,0.0021216,0.00489771,0.00952721
1,440,124,124,0.00122535,0.00420646,0.00207192
1,440,125,125,0.000391819,0.00436118,0.00153927
1,440,126,126,0.000290991,0.00109181,0.00214863
1,440,127,127,0.00066126,0.00047941,0.00218523
1,440,128,128,0.000555494,0.000452662,0.000524135
1,440,129,129,0.000398273,0.000119772,0.000162925
1,440,130,130,0.00337214,0.000514458,0.00226545
1,440,131,131,0.00161255,0.000207896,0.00222326
1,440,132,132,0.0033704,0.00278228,0.000196709
1,440,133,133,0.00108981,0.00396217,0.00204694
1,440,134,134,0.000287017,0.000185516,0.000177436
1,440,135,135,0.000852073,0.00349783,0.00209731
1,440,136,136,0.00137748,0.00121275,0.0025055
1,440,137,137,0.000693354,0.000286978,0.000495475
1,440,138,138,0.00337214,0.000514458,0.00226327
1,440,139,139,0.00244264,0.000285217,0.00224485
1,440,140,140,0.00337214,0.000514458,0.00226822
1,440,141,141,0.0033698,0.00296088,0.000179853
1,440,142,142,0.00027493,0.00117875,0.00216456
1,440,143,143,0.000601893,0.00293292,0.00207871
1,440,144,144,0.00337158,0.000975017,0.00127389
1,440,145,145,0.000288208,0.00185295,0.00214504
1,440,146,146,0.00379272,0.00452506,0.0104997
1,440,147,147,0.00249007,0.00431285,0.000183573
1,440,148,148,0.000621158,0.00418237,0.00525514
1,440,149,149,0.00150499,0.00467836,0.00202665
1,440,150,150,0.00337214,0.000514458,0.00226327
1,440,151,151,0.00363305,0.00752893,0.00195284
1,440,152,152,0.00336866,0.00478919,5.13841e-05
1,440,153,153,0.00101503,0.000313794,0.000318698
1,440,154,154,0.00337214,0.000514458,0.00226327
1,440,155,155,0.0027085,0.00640325,0.00198081
1,440,156,156,0.00246446,0.00267368,0.00457453
1,440,157,157,0.0024505,0.00606315,0.00200732
1,440,158,158,0.0013406,0.00440617,0.00203447
1,440,159,159,0.00232378,0.00174098,0.00395052
1,440,160,160,0.00056582,0.00480809,0.00517996
1,440,161,161,0.00145732,0.000214964,0.00222801
1,440,162,162,0.0021928,0.0031126,0.00387023
1,440,163,163,0.000338435,0.0018326,0.000850969
1,440,164,164,0.00145821,0.00414731,0.000355368
1,440,165,165,0.00337158,0.000627024,0.00188451
1,440,166,166,0.00484026,0.0088377,0.00192221
1,440,167,167,0.000985188,0.00435201,0.00656319
1,440,168,168,0.000262002,0.00162886,0.00213548
1,440,169,169,0.00337214,0.000514458,0.00226833
1,440,170,170,0.00162817,0.00374077,0.0003083
1,440,171,171,0.00119005,0.00414413,0.00204163
1,440,172,172,0.00103852,0.00464435,0.00110587
1,440,173,173,0.00212534,0.00165035,0.00370012
1,440,174,174,0.000340835,0.000920067,0.00217903
1,440,175,175,0.0021907,0.00462923,0.00773606
