name,value,group,weight
dmf_0,0.0820906,gdmf,1
dmf_1,0.0752497,gdmf,1
dmf_2,0.0437816,gdmf,1
dmf_3,0.0300999,gdmf,1
dmf_4,0.0191545,gdmf,1
dmf_5,0.0191545,gdmf,1
dmf_6,0.0191545,gdmf,1
dma_0,0,gdma,1
dma_1,0.0177462,gdma,1
dma_2,0.0288376,gdma,1
dma_3,0.0354925,gdma,1
dma_4,0.039929,gdma,1
dma_5,0.0443656,gdma,1
dma_6,0.039929,gdma,1
mma_0,0,gmma,1
mma_1,0.00321958,gmma,1
mma_2,0.00965873,gmma,1
mma_3,0.0160979,gmma,1
mma_4,0.0257566,gmma,1
mma_5,0.022537,gmma,1
mma_6,0.0289762,gmma,1
