real_name,dmf_0,dmf_1,dmf_2,dmf_3,dmf_4,dmf_5,dmf_6,dma_0,dma_1,dma_2,dma_3,dma_4,dma_5,dma_6,mma_0,mma_1,mma_2,mma_3,mma_4,mma_5,mma_6
0,0.082090999999999997305,0.060740000000000002323,0.043728999999999997039,0.031482000000000003037,0.022665000000000001118,0.016317000000000001642,0.011747000000000000497,0,0.020341999999999998971,0.034515999999999998071,0.04280599999999999683,0.047044999999999996543,0.048534000000000000752,0.048192999999999999727,0,0.0010081000000000000551,0.0038424999999999999954,0.0077921999999999999945,0.012357999999999999194,0.017198999999999999011,0.022086999999999998995
1,0.082090999999999997305,0.071104000000000000536,0.060788000000000001755,0.051969000000000001305,0.044429999999999997273,0.037983999999999996933,0.032473000000000001863,0,0.0105719999999999998,0.019625000000000000083,0.026524999999999999967,0.03165199999999999958,0.035324000000000001231,0.037808000000000001328,0,0.00041148999999999997862,0.0016475000000000000928,0.0034962000000000000889,0.0057815000000000001806,0.0083607000000000004231,0.011117999999999999411
2,0.082090999999999997305,0.059062999999999997447,0.041242000000000000881,0.028798000000000000681,0.020108999999999998404,0.014040999999999999662,0.0098046999999999995268,0,0.020445000000000001367,0.031558000000000002716,0.035486999999999997712,0.035249000000000002553,0.032761999999999999456,0.029218999999999998446,0,0.0025547000000000000264,0.0090700999999999993434,0.017136999999999999456,0.025334999999999999881,0.032888000000000000567,0.03942400000000000071
3,0.082090999999999997305,0.073016999999999998572,0.064258999999999996677,0.056550999999999997103,0.049767999999999999738,0.043797999999999996656,0.038545000000000002871,0,0.0066232000000000000942,0.0094713000000000002049,0.010123000000000000054,0.0097870000000000005602,0.0090439999999999999558,0.008170699999999999491,0,0.0024364999999999998638,0.0082570999999999998564,0.015110999999999999432,0.021910999999999999921,0.02818999999999999978,0.033779999999999997529
4,0.082090999999999997305,0.059289000000000001422,0.041571999999999997844,0.029149999999999998829,0.020438999999999998836,0.014331999999999999254,0.01004900000000000064,0,0.022717999999999998612,0.040190999999999997561,0.052257999999999998897,0.060537000000000000532,0.066159999999999996589,0.069922999999999999043,0,8.3574999999999998574e-05,0.00032606999999999997314,0.00067792999999999998227,0.0011039000000000001069,0.0015793000000000000614,0.0020869000000000000397
5,0.082090999999999997305,0.073482000000000005646,0.065116999999999994331,0.057704999999999999349,0.051136000000000000898,0.045315000000000001112,0.040156999999999998252,0,0.0056889000000000002066,0.0075239000000000000323,0.0076220999999999997088,0.007121599999999999632,0.0064520999999999996757,0.0057720000000000002208,0,0.0028920999999999998792,0.0092514999999999993074,0.016201000000000000123,0.022710000000000001019,0.028465000000000000718,0.033415000000000000258
6,0.082090999999999997305,0.049612000000000003319,0.028642000000000000792,0.016535000000000001086,0.0095458999999999995245,0.0055110000000000002734,0.0031816000000000001398,0,0.032349999999999996814,0.052970999999999997254,0.064602000000000006641,0.071045999999999998042,0.07449699999999999378,0.076222999999999999088,0,0.00012663999999999999368,0.00046097999999999999437,0.00090034999999999995677,0.0013856000000000000694,0.0018832000000000000215,0.0023747999999999998277
7,0.082090999999999997305,0.071097999999999994536,0.060778999999999999693,0.051957000000000003181,0.044415000000000003089,0.037968000000000001748,0.03245699999999999974,0,0.010533000000000000695,0.019460999999999999133,0.026177999999999999881,0.031085999999999999049,0.034519000000000001072,0.036759000000000000008,0,0.00045338000000000002647,0.0018010000000000000835,0.0037916999999999998448,0.0062196999999999998815,0.0089204999999999996102,0.011764000000000000151
8,0.082090999999999997305,0.063974000000000003086,0.048737999999999996603,0.037130999999999997341,0.028288000000000000644,0.021551000000000000711,0.016417999999999998567,0,0.018052999999999999603,0.033099000000000003419,0.04441900000000000015,0.052903999999999999637,0.059228000000000002867,0.063907000000000005469,0,6.3343000000000006613e-05,0.00025359999999999998429,0.00053976000000000002275,0.00089778000000000004067,0.0013094000000000000604,0.0017604999999999999122
9,0.082090999999999997305,0.056934999999999999498,0.038196000000000000785,0.025624000000000000943,0.017191000000000001419,0.011532999999999999849,0.0077369999999999999538,0,0.025060999999999999943,0.043529999999999999249,0.055713999999999999635,0.063683000000000003493,0.068826999999999999291,0.072077000000000002178,0,9.4403999999999999417e-05,0.0003644899999999999746,0.00075118999999999999575,0.0012142999999999999714,0.0017267999999999999062,0.0022707000000000000621
