real_name,dmf_0,dmf_1,dmf_2,dmf_3,dmf_4,dmf_5,dmf_6,dmf_7,dmf_8,dma_0,dma_1,dma_2,dma_3,dma_4,dma_5,dma_6,dma_7,dma_8,nh3_0,nh3_1,nh3_2,nh3_3,nh3_4,nh3_5,nh3_6,nh3_7,nh3_8
0,0.0054726999999999996135,0.0030815999999999998775,0.0013021000000000000456,0.00055020000000000003799,0.00023247999999999999676,9.8233999999999994934e-05,4.1508000000000003064e-05,1.7538999999999999279e-05,7.4109999999999998563e-06,0,0.0022235000000000002159,0.0034077999999999998917,0.0034586999999999998821,0.0031126000000000000889,0.0026657000000000000139,0.0022309000000000000705,0.0018461000000000000413,0.0015188999999999998943,0,1.870199999999999911e-10,1.8577999999999999332e-08,1.8538999999999999446e-07,7.1235000000000004913e-07,1.7439999999999999465e-06,3.323300000000000013e-06,5.4290000000000000286e-06,8.0113999999999992239e-06
1,0.0054726999999999996135,0.0053557999999999999705,0.0051850999999999997786,0.0050197999999999996096,0.0048598000000000000573,0.0047049999999999999808,0.0045550000000000000211,0.004409800000000000178,0.0042693000000000001781,0,0.00011022999999999999324,0.00024862000000000001503,0.00035952000000000000016,0.00044755000000000000945,0.00051657999999999999058,0.00056986000000000004966,0.00061010000000000003031,0.00063955000000000001431,0,4.0674000000000000122e-07,1.2832000000000000131e-05,4.7154000000000002879e-05,0.00010082999999999999515,0.00017019999999999998997,0.00025202999999999998407,0.00034357000000000001904,0.00044254999999999999633
2,0.0054726999999999996135,0.0024588000000000001348,0.00074043999999999997839,0.00022298000000000000979,6.714699999999999933e-05,2.0220999999999998334e-05,6.0893000000000002965e-06,1.8336999999999999093e-06,5.5221000000000004586e-07,0,0.002609600000000000114,0.0031386000000000000704,0.0025395999999999999304,0.0018454000000000000785,0.0012880999999999999221,0.00088422000000000001464,0.00060265000000000003896,0.00040945000000000000492,0,0.0001790299999999999986,0.0011834000000000000335,0.0022831000000000001467,0.0031580000000000002167,0.0037905000000000000325,0.0042313999999999997448,0.0045339000000000004298,0.0047400999999999996956
3,0.0054726999999999996135,0.0053556000000000002909,0.0051847000000000004194,0.0050191999999999997034,0.0048589999999999996041,0.0047039999999999998481,0.0045538000000000002088,0.0044085000000000000922,0.0042678000000000004127,0,8.6185000000000002384e-05,0.00014202999999999999371,0.00015976999999999999666,0.00016314000000000001352,0.00016114999999999998683,0.00015723000000000001081,0.00015268000000000000863,0.00014798000000000000281,0,1.5665999999999999594e-06,3.9765999999999998397e-05,0.00013018999999999999865,0.00025189000000000000236,0.0003878099999999999885,0.00052842000000000003985,0.00066903000000000003699,0.00080747999999999995994
4,0.0054726999999999996135,0.002534999999999999927,0.00079918000000000002925,0.0002519500000000000255,7.9429000000000001339e-05,2.504099999999999962e-05,7.8942999999999999554e-06,2.4888000000000002101e-06,7.8459999999999997148e-07,0,0.0029355000000000001752,0.004663600000000000384,0.0052011000000000001675,0.0053632999999999996649,0.0054070999999999997537,0.0054136999999999995889,0.005408500000000000113,0.0053996000000000000593,0,1.9824000000000001155e-12,2.5844000000000000142e-11,1.0030000000000000519e-10,2.8347999999999998681e-10,7.1487000000000003464e-10,1.6536999999999999866e-09,3.450199999999999935e-09,6.5022000000000001491e-09
5,0.0054726999999999996135,0.0053556000000000002909,0.0051847000000000004194,0.0050192999999999999769,0.0048590999999999998776,0.0047039999999999998481,0.0045538999999999996149,0.0044086000000000003657,0.0042678999999999998188,0,7.8778999999999999092e-05,0.00011840000000000000481,0.00012641000000000000435,0.00012568000000000000287,0.00012259000000000000365,0.00011893999999999999625,0.00011521999999999999798,0.00011155999999999999576,0,7.5535999999999999818e-06,8.9876999999999993463e-05,0.0002197699999999999914,0.00036284000000000001581,0.00050761000000000002733,0.00065043999999999995917,0.00079011999999999994997,0.0009262400000000000494
6,0.0054726999999999996135,0.0006013299999999999635,2.190099999999999919e-05,7.9815999999999999497e-07,2.9096000000000001268e-08,1.9015000000000001028e-10,6.9256999999999998628e-12,2.5225000000000001063e-13,9.1872000000000006647e-15,0,0.0048671000000000000721,0.0054359999999999998599,0.005446399999999999679,0.0054364000000000000865,0.0054257000000000003143,0.0054149999999999996747,0.0054042999999999999025,0.0053936000000000001303,0,4.5843000000000000946e-07,4.6611000000000001471e-06,1.081800000000000044e-05,1.7790000000000000773e-05,2.5241000000000001093e-05,3.3012000000000001738e-05,4.1017999999999999285e-05,4.9200999999999998696e-05
7,0.0054726999999999996135,0.0053557999999999999705,0.0051850999999999997786,0.0050197999999999996096,0.0048598000000000000573,0.0047049999999999999808,0.0045550000000000000211,0.004409800000000000178,0.0042693000000000001781,0,0.00010982000000000000225,0.00024636999999999998744,0.00035443999999999997426,0.00043910999999999998861,0.00050454999999999998548,0.00055422000000000001645,0.0005909900000000000049,0.00061720999999999998087,0,7.9154999999999996423e-07,1.7190999999999998546e-05,5.6916000000000001909e-05,0.00011618999999999999717,0.00019100000000000000766,0.00027790999999999997346,0.00037410999999999998075,0.0004772399999999999776
8,0.0054726999999999996135,0.0046835999999999995691,0.0037079999999999999245,0.0029356999999999998548,0.0023241999999999997904,0.0018400999999999998955,0.0014568000000000000654,0.0011533999999999999548,0.00091314000000000000203,0,0.00078863000000000001675,0.0017619000000000000546,0.0025303999999999999236,0.0031367999999999999182,0.0036148000000000000444,0.0039912999999999997092,0.0042874000000000002386,0.0045196999999999997594,0,3.7975999999999998934e-13,5.6805999999999998468e-12,2.2945000000000001286e-11,6.1421999999999997379e-11,1.3784000000000001204e-10,2.8646000000000001167e-10,5.7593999999999997777e-10,1.1261000000000000714e-09
9,0.0054726999999999996135,0.0018275999999999999711,0.00035271000000000000268,6.8069000000000001683e-05,1.3136999999999999752e-05,2.5351999999999998844e-06,4.8925999999999997517e-07,9.4421999999999996746e-08,1.3820000000000000666e-08,0,0.0036421999999999999514,0.0051082000000000002404,0.0053823999999999998581,0.0054266999999999995796,0.0054266000000000001735,0.0054180000000000000729,0.0054076999999999996599,0.0053971999999999995673,0,2.6856000000000001888e-12,3.2942000000000002411e-11,1.2497000000000000892e-10,3.5283000000000001099e-10,8.9056999999999995523e-10,2.0378000000000001388e-09,4.173900000000000238e-09,7.6802999999999996274e-09
10,0.0054726999999999996135,0.00059217000000000004443,2.1077000000000001658e-05,7.5069000000000000731e-07,2.6744999999999998943e-08,9.528299999999999036e-10,3.394600000000000096e-11,1.2094000000000000772e-12,7.2848999999999997105e-15,0,0.0023679000000000000395,0.00059988999999999995019,0.00011375999999999999502,2.0610999999999999682e-05,3.7019999999999998769e-06,6.6377000000000002044e-07,1.1896999999999999924e-07,1.7348000000000000891e-08,0,3.1597000000000001627e-08,9.7357999999999996037e-07,3.2268000000000001746e-06,6.2039000000000000124e-06,9.5845999999999996791e-06,1.3227999999999999389e-05,1.7059999999999999292e-05,2.1035999999999999849e-05
11,0.0054726999999999996135,0.0052348999999999997965,0.0048973999999999996702,0.0045817000000000001822,0.0042862999999999998324,0.0040099000000000002697,0.0037513999999999997868,0.0035095999999999998725,0.0032832999999999998471,0,0.00023566999999999999841,0.00056227000000000002238,0.00085866999999999996281,0.0011271000000000000203,0.0013695000000000000576,0.0015878999999999999452,0.0017838999999999999389,0.0019594000000000000306,0,1.1307000000000000597e-07,3.5729999999999999262e-06,1.422699999999999948e-05,3.2444999999999998527e-05,5.7747999999999996654e-05,8.9531999999999995919e-05,0.00012719000000000000705,0.00017016000000000001068
12,0.0054726999999999996135,0.00087478000000000002371,5.5903999999999998724e-05,3.5729000000000001304e-06,2.2835999999999998814e-07,1.4594999999999999334e-08,9.3279999999999992211e-10,5.961800000000000547e-11,3.8104000000000000004e-12,0,0.0041945999999999997176,0.0040870000000000003548,0.003340599999999999993,0.0026965000000000001121,0.0021744999999999997838,0.0017534000000000000107,0.0014139000000000000526,0.001140100000000000011,0,0.00014348999999999999667,0.00090465000000000000708,0.0017003000000000000752,0.0023657999999999999342,0.002906600000000000069,0.0033443000000000001372,0.0036979000000000000585,0.0039833999999999997882
13,0.0054726999999999996135,0.00037574999999999999893,6.760099999999999871e-06,1.2209000000000000336e-07,2.2092999999999998051e-09,3.9980000000000000492e-11,7.2347000000000004646e-13,1.3092000000000000533e-14,2.3690999999999998816e-16,0,0.0040762999999999997153,0.0027639999999999999639,0.0017056000000000000414,0.001049699999999999982,0.000646019999999999971,0.00039756999999999997637,0.00024467000000000000033,0.00015056999999999998987,0,5.24719999999999983e-09,2.9393999999999999701e-07,1.4180000000000000184e-06,3.4412999999999999844e-06,6.1851999999999996663e-06,9.4629000000000004886e-06,1.3129000000000000845e-05,1.7081000000000001293e-05
14,0.0054726999999999996135,0.005355699999999999697,0.005184900000000000099,0.0050194999999999996565,0.0048593999999999998307,0.0047044000000000000747,0.0045544000000000001149,0.0044090999999999999984,0.004268499999999999725,0,9.6574000000000000663e-05,0.00018204000000000001213,0.00022518000000000000906,0.00024505000000000002041,0.00025219000000000000965,0.00025241000000000000415,0.00024893000000000001714,0.00024351999999999999948,0,6.0743999999999998124e-06,6.424500000000000577e-05,0.0001644799999999999973,0.00028675000000000000402,0.00041961000000000000252,0.00055659999999999997672,0.0006941399999999999914,0.00083027000000000003143
15,0.0054726999999999996135,0.0053546000000000001581,0.0051821999999999996539,0.0050153999999999997195,0.0048539999999999998079,0.004697699999999999966,0.004546500000000000194,0.0044000999999999996712,0.0042585000000000001324,0,6.8322000000000000786e-05,9.0209000000000003159e-05,9.1222000000000001761e-05,8.8923000000000002258e-05,8.6163999999999996995e-05,8.3406999999999996117e-05,8.0724999999999997062e-05,7.8126000000000003819e-05,0,2.0217999999999998532e-05,0.00013636000000000000226,0.00028095000000000002567,0.00042884999999999998859,0.00057488999999999999303,0.00071776999999999995319,0.00085703999999999999366,0.00099255000000000002947
16,0.0054726999999999996135,0.00012850000000000000636,4.6350999999999999936e-07,1.9076999999999999366e-09,7.8516000000000001887e-12,3.2314999999999999125e-14,1.329999999999999918e-16,5.4739999999999997229e-19,2.2530000000000000288e-21,0,0.0039193999999999999673,0.0021808000000000000995,0.0011708999999999998923,0.00062847999999999994581,0.00033733999999999999229,0.0001810699999999999994,9.7194000000000004892e-05,5.2169999999999996866e-05,0,0.00089835000000000001658,0.0028210999999999999965,0.0039087000000000001951,0.0044948999999999995902,0.0048100000000000000394,0.004979299999999999872,0.005070200000000000401,0.0051190000000000002861
17,0.0054726999999999996135,0.0053555000000000000174,0.0051844999999999998724,0.0050188999999999997503,0.0048586000000000002449,0.004703399999999999942,0.0045531000000000000291,0.0044076999999999996391,0.0042668999999999996861,0,9.0290999999999993226e-05,0.00015663999999999999105,0.00018226000000000000664,0.00018998999999999998853,0.00018991000000000000285,0.0001865000000000000067,0.00018170999999999999327,0.00017642999999999998961,0,1.6852999999999998568e-11,3.6572000000000000474e-10,3.6260000000000000931e-09,1.8553999999999998588e-08,5.8952999999999998564e-08,1.4089000000000001288e-07,2.8000999999999997749e-07,4.8989000000000000133e-07
18,0.0054726999999999996135,0.0053559000000000002439,0.0051853999999999997317,0.0050203000000000001096,0.0048603999999999999634,0.0047057000000000001605,0.0045557999999999996069,0.0044108000000000003107,0.0042703000000000003109,0,0.00011673000000000000216,0.0002869600000000000037,0.00045151000000000001897,0.00061056000000000000896,0.00076429000000000004312,0.00091286000000000003859,0.0010564000000000000907,0.001195199999999999995,0,3.5182000000000000944e-14,5.4567999999999995282e-13,2.2252999999999998177e-12,5.7859999999999997814e-12,1.2006000000000000339e-11,2.181099999999999905e-11,3.6383999999999996832e-11,5.7344000000000001225e-11
19,0.0054726999999999996135,0.0053555000000000000174,0.0051844999999999998724,0.0050188999999999997503,0.0048586000000000002449,0.004703399999999999942,0.0045532000000000003026,0.0044077999999999999126,0.0042669999999999999596,0,9.2138000000000004511e-05,0.0001636999999999999946,0.00019369999999999999198,0.00020416999999999999168,0.00020551999999999999739,0.00020268000000000000425,0.00019797000000000000361,0.00019247000000000000545,0,1.5642000000000001406e-11,3.3386000000000002377e-10,3.2820000000000000402e-09,1.7080999999999999228e-08,5.5087999999999996711e-08,1.3318000000000000539e-07,2.6710000000000000284e-07,4.7067000000000001848e-07
20,0.0054726999999999996135,0.005355699999999999697,0.005184900000000000099,0.0050194999999999996565,0.0048593999999999998307,0.0047044000000000000747,0.0045542999999999998414,0.0044089999999999997249,0.0042684000000000003189,0,9.6800999999999996965e-05,0.00018299000000000000812,0.0002268500000000000117,0.00024728999999999999896,0.00025480000000000001346,0.00025524999999999999729,0.00025188000000000000753,0.00024651000000000002337,0,4.6308999999999999957e-06,5.8550000000000000156e-05,0.00015598000000000000753,0.00027661999999999999089,0.00040859000000000001655,0.0005451699999999999862,0.00068261000000000005266,0.00081881000000000000224
21,0.0054726999999999996135,6.0696999999999998404e-05,7.1217999999999996225e-08,8.4307000000000004172e-11,9.9800999999999998029e-14,1.181400000000000077e-16,1.3987000000000000666e-19,1.6549999999999998912e-22,1.9573000000000001061e-25,0,0.005406300000000000168,0.0054559999999999999123,0.0054450999999999995932,0.0054342000000000001414,0.0054232999999999998222,0.0054124000000000003704,0.0054016000000000003248,0.0053907000000000000056,0,6.7935000000000000828e-12,6.136899999999999508e-11,2.146300000000000126e-10,6.0146999999999999197e-10,1.5042000000000000376e-09,3.3286999999999998893e-09,6.5413999999999997656e-09,1.1653000000000000188e-08
22,0.0054726999999999996135,0.0053552000000000000643,0.0051834999999999997397,0.0050173999999999999849,0.0048565999999999999795,0.0047010000000000003173,0.004550399999999999584,0.0044045000000000004287,0.0042633999999999996552,0,8.3114000000000004174e-05,0.00013119999999999999067,0.00014383000000000001036,0.00014480999999999999081,0.00014201999999999999889,0.00013808000000000000612,0.0001338599999999999957,0.00012964000000000001239,0,9.3821999999999997196e-06,9.4353999999999998202e-05,0.00022320999999999999912,0.00036540999999999998612,0.00051000000000000003664,0.00065306000000000001202,0.00079314000000000001254,0.00092969999999999999255
23,0.0054726999999999996135,0.0047546000000000003191,0.0038500999999999999633,0.0031177000000000001587,0.0025246000000000001079,0.0020444000000000000367,0.0016555000000000000705,0.0013404999999999998948,0.0010855000000000000933,0,0.00071772000000000003329,0.0016200999999999999689,0.0023489999999999999596,0.0029375000000000000069,0.0034120999999999999421,0.0037946999999999998093,0.0041026999999999999233,0.0043502999999999996533,0,3.1839999999999998624e-13,4.777800000000000099e-12,1.9273000000000001585e-11,5.1191000000000001896e-11,1.1308999999999999411e-10,2.2956999999999998893e-10,4.492099999999999925e-10,8.5920999999999997254e-10
24,0.0054726999999999996135,0.0053559000000000002439,0.0051853999999999997317,0.0050203000000000001096,0.0048603999999999999634,0.0047057000000000001605,0.0045557999999999996069,0.0044108000000000003107,0.0042703000000000003109,0,0.00011673000000000000216,0.0002869600000000000037,0.00045151000000000001897,0.00061056000000000000896,0.00076429000000000004312,0.00091286000000000003859,0.0010564000000000000907,0.001195199999999999995,0,1.1897000000000000379e-10,4.2649000000000000271e-09,3.297199999999999905e-08,1.1896999999999999924e-07,2.9601000000000001489e-07,5.9273999999999999916e-07,1.0305999999999999244e-06,1.6243000000000000592e-06
