real_name,dmfdma,dmamma,mmanh3,phi
0,0.0174115498009575,0.0005,0.0005,0.000390118
1,0.0050005733835881,0.0005,0.0889140892955041,0.000439377
2,0.0201014908495752,0.0338006199936716,0.1227624438569343,0.000383964
3,0.0050005901319507,0.1494068024559498,0.0368779874277439,0.000444174
4,0.0197415126286029,0.0005,0.0005,0.000382606
5,0.0050005947893827,0.2105697931254398,0.0944745945307558,0.00044561
5,0.0050010408794971,0.2105694830571664,0.0944744208629517,0.00044561
6,0.0368731650955475,0.0005,0.2160686657626692,0.000341707
7,0.005000573383588,0.0005,0.1582164667612354,0.000439377
8,0.0124207904339335,0.0005,0.0005,0.000407986
9,0.02363781032834,0.0005,0.0005,0.000371159
10,0.0370456476304165,0.299728191149322,0.0005,0.000363127
11,0.0110854840448194,0.0005,0.2112351385644467,0.000413198
12,0.0324073999303263,0.0005,0.0836404915427924,0.000350119
13,0.0424634038632967,0.0530645604256438,0.0005,0.00033266
14,0.0050005828698424,0.0745668224705908,0.3069996331011626,0.000441873
15,0.0091407754798922,0.3191707631217809,0.2607349514258788,0.000434281
16,0.0552398414461725,0.0804416898097296,0.1594078110026909,0.000312071
17,0.0050005874269804,0.1191044093979707,0.0005,0.000443348
18,0.0055830436316606,0.0005,0.0005,0.000436704
19,0.0050005861437882,0.1058035785856402,0.0005,0.000442958
20,0.0099171581787661,0.0731287689263475,0.1772983316019154,0.000422039
21,0.0641747158453281,0.0005002664803065,0.0005000397864706,0.00031774
22,0.0050005923260835,0.1766447784536462,0.1543455281008464,0.000444737
23,0.0122410035599587,0.0005,0.0005,0.000408678
24,0.0083522824423826,0.0005,0.1382268718854033,0.00042446
25,0.040203736476235,0.1934213616019477,0.228099499815754,0.000343242
26,0.0244707280082287,0.0005,0.0005,0.000368885
27,0.0288898643244596,0.0809695605835118,0.0083360017054683,0.000363236
28,0.0050005804121712,0.0532703470962878,0.0005,0.000441287
29,0.0463456249381603,0.0556890267912017,0.0300301196632969,0.000326257
30,0.0141906470918442,0.0005,0.0005,0.000401364
31,0.0050006025488958,0.3517419301556351,0.0005,0.000448517
32,0.0325247850962215,0.0005,0.0005,0.000349878
33,0.0102670580076845,0.0005,0.0005,0.000416483
34,0.0050005733835882,0.0005,0.0005,0.000439377
35,0.022417875592902,0.0005,0.0005,0.000374597
36,0.0050005733835882,0.0005,0.0075140087589065,0.000439377
37,0.0346154182283649,0.0005,0.0970082409309611,0.000345778
38,0.0379134224148743,0.0005000046483261,0.0005,0.000339955
39,0.0159670392336186,0.0005,0.0005,0.000395037
40,0.0050005748174473,0.0104270930250764,0.0630623516061837,0.000439755
41,0.0050005942995778,0.2034786472213892,0.0133367345168023,0.000445548
42,0.0050005733835882,0.0005,0.0005,0.000439377
43,0.0050005991876347,0.2828279493701491,0.2378705745483472,0.000446859
44,0.0141883016718353,0.0005,0.1938014848793923,0.000401376
45,0.047549816914387,0.4044602393706007,0.0005,0.000351657
46,0.011258212027053,0.1740947770257574,0.0005,0.000422779
47,0.0050005733835882,0.0005,0.0005,0.000439377
48,0.0329183375446663,0.1783983693034969,0.0005,0.000361656
49,0.0050005733835882,0.0005,0.0005,0.000439377
50,0.0050005804051039,0.0532098821620176,0.0005,0.000441285
51,0.0301668697934116,0.0005,0.0296895308191477,0.000354904
52,0.0482046096108358,0.0005001120347718,0.0005,0.000326507
53,0.0179276117251139,0.0005,0.0005,0.000388411
54,0.0050005733835882,0.0005,0.0005,0.000439377
55,0.0341116878298242,0.1748703090893108,0.3028660561526797,0.000355265
56,0.0050005922880145,0.1761111941353282,0.0144697090037843,0.000444881
57,0.0050005810028868,0.0582443474777909,0.3128647664790313,0.000441369
58,0.0050005844462541,0.089183924890128,0.4181422304451508,0.00044226
59,0.0255855727391478,0.1848314861307552,0.2162043542867026,0.000378751
60,0.0251240417767624,0.1944988586719826,0.0005,0.000382681
61,0.0232333553469825,0.0212095600247879,0.2843167532370091,0.000373609
62,0.0623950588257755,0.0244009090354198,0.000500014525173,0.000312179
63,0.0050005733835882,0.0005,0.0005,0.000439377
64,0.0183472652057626,0.0005,0.1411494362846858,0.000387042
65,0.0225627018973993,0.0005,0.1020526507816256,0.000374181
66,0.045510799283717,0.0525636601669342,0.0005,0.000327649
67,0.0050005852766462,0.0971733335199599,0.0561381050830362,0.000442678
68,0.0087971381851677,0.0005,0.0005,0.000422551
69,0.0050005876665452,0.1216593971651016,0.0005,0.000443422
70,0.0178260530973692,0.0238784186624403,0.0919728218686969,0.00039052
71,0.0387390500804708,0.0005000135231827,0.1170312983343847,0.000338619
72,0.0050005733835882,0.0005,0.0326817666137788,0.000439377
73,0.0050005999434655,0.2969913726509865,0.0005,0.000447536
74,0.0098922809330483,0.0005,0.2156449807166108,0.00041802
75,0.0693666110801776,0.0005003136991037,0.0005000588244666,0.000317557
76,0.0163265988809349,0.0005,0.0005,0.000393794
77,0.0535799638943874,0.0640398757449049,0.0636018886741036,0.000315684
78,0.0050005733835882,0.0005,0.0005,0.000439377
79,0.0538560529253936,0.1549403098050874,0.0005,0.000317801
80,0.0204282742447583,0.0266586615581702,0.0005,0.000382501
81,0.0050005733835882,0.0005,0.0005,0.000439377
82,0.0577860079109244,0.1230980439765349,0.1501861320488288,0.000307993
83,0.0050005733835882,0.0005,0.0005,0.000439377
84,0.0050005733835881,0.0005,0.119315002395455,0.000439377
85,0.0050005872761702,0.1175067250856446,0.0005,0.000443302
86,0.0135137074846021,0.0005,0.0005,0.00040386
87,0.0138929573803936,0.0005,0.1327843875861091,0.000402457
88,0.0431988582596731,0.0895588062200294,0.0005,0.000332716
89,0.0256721512946669,0.0005,0.275367586244216,0.000365712
90,0.0330818333460101,0.2117800539763459,0.1752205911359142,0.000361856
91,0.0263536353429496,0.1845826830041046,0.0562420947124969,0.000378123
92,0.0565687047763986,0.0005001947019294,0.0005000108915679,0.000320257
93,0.0050005733835882,0.0005,0.0005,0.000439377
94,0.0374061962064229,0.0005,0.0579766012730149,0.000340801
95,0.0253378237900527,0.1359935509032043,0.1873641477396668,0.000375999
