iteration,num_reals,current_lambda,current_comp_mean_phi,current_comp_std_phi,lambda_scale_fac,lambda,comp_mean_phi,comp_std_phi
19,20,1.50095e-07,0.000163474,5.8185e-05,0.75,1.80114e-07,0.000160786,5.87997e-05
19,20,1.50095e-07,0.000163474,5.8185e-05,1,1.80114e-07,0.000160762,5.87836e-05
19,20,1.50095e-07,0.000163474,5.8185e-05,1.1,1.80114e-07,0.000160751,5.87764e-05
20,20,1.35085e-07,0.00016337,5.81214e-05,0.75,1.62102e-07,0.000156383,5.9371e-05
20,20,1.35085e-07,0.00016337,5.81214e-05,1,1.62102e-07,0.00015636,5.9355e-05
20,20,1.35085e-07,0.00016337,5.81214e-05,1.1,1.62102e-07,0.000156352,5.93486e-05
21,20,1.21577e-07,0.000163267,5.80581e-05,0.75,1.45892e-07,0.000161965,6.0361e-05
21,20,1.21577e-07,0.000163267,5.80581e-05,1,1.45892e-07,0.000161948,6.035e-05
21,20,1.21577e-07,0.000163267,5.80581e-05,1.1,1.45892e-07,0.000161942,6.0346e-05
22,20,1.09419e-07,0.000163164,5.79951e-05,0.75,1.31303e-07,0.000135321,5.98861e-05
22,20,1.09419e-07,0.000163164,5.79951e-05,1,1.31303e-07,0.000135307,5.98729e-05
22,20,1.09419e-07,0.000163164,5.79951e-05,1.1,1.31303e-07,0.000135302,5.9868e-05
23,20,9.84771e-08,0.000163061,5.79327e-05,0.75,1.18173e-07,0.00015197,6.39324e-05
23,20,9.84771e-08,0.000163061,5.79327e-05,1,1.18173e-07,0.000151949,6.39173e-05
23,20,9.84771e-08,0.000163061,5.79327e-05,1.1,1.18173e-07,0.000151941,6.39114e-05
24,20,8.86294e-08,0.000162958,5.787e-05,0.75,1.06355e-07,0.000155493,6.26929e-05
24,20,8.86294e-08,0.000162958,5.787e-05,1,1.06355e-07,0.000155467,6.26736e-05
24,20,8.86294e-08,0.000162958,5.787e-05,1.1,1.06355e-07,0.000155456,6.2666e-05
25,20,7.97664e-08,0.000162856,5.78083e-05,0.75,9.57197e-08,0.000158371,5.12735e-05
25,20,7.97664e-08,0.000162856,5.78083e-05,1,9.57197e-08,0.000158344,5.12534e-05
25,20,7.97664e-08,0.000162856,5.78083e-05,1.1,9.57197e-08,0.000158334,5.12456e-05
26,20,7.17898e-08,0.000162753,5.77462e-05,0.75,8.61478e-08,0.000158998,6.47837e-05
26,20,7.17898e-08,0.000162753,5.77462e-05,1,8.61478e-08,0.000158971,6.47677e-05
26,20,7.17898e-08,0.000162753,5.77462e-05,1.1,8.61478e-08,0.00015896,6.47613e-05
27,20,6.46108e-08,0.000162651,5.76848e-05,0.75,7.7533e-08,0.00015469,5.06534e-05
27,20,6.46108e-08,0.000162651,5.76848e-05,1,7.7533e-08,0.000154669,5.06355e-05
27,20,6.46108e-08,0.000162651,5.76848e-05,1.1,7.7533e-08,0.000154661,5.06286e-05
28,20,5.81497e-08,0.000162549,5.76238e-05,0.75,6.97797e-08,0.000161531,5.80502e-05
28,20,5.81497e-08,0.000162549,5.76238e-05,1,6.97797e-08,0.000161505,5.80348e-05
28,20,5.81497e-08,0.000162549,5.76238e-05,1.1,6.97797e-08,0.000161494,5.8028e-05
29,20,5.23348e-08,0.000162448,5.75628e-05,0.75,6.28017e-08,0.000150238,6.41941e-05
29,20,5.23348e-08,0.000162448,5.75628e-05,1,6.28017e-08,0.000150213,6.41755e-05
29,20,5.23348e-08,0.000162448,5.75628e-05,1.1,6.28017e-08,0.000150204,6.41684e-05
30,20,4.71013e-08,0.000162347,5.75023e-05,0.75,5.65215e-08,0.000150703,6.09245e-05
30,20,4.71013e-08,0.000162347,5.75023e-05,1,5.65215e-08,0.00015068,6.09078e-05
30,20,4.71013e-08,0.000162347,5.75023e-05,1.1,5.65215e-08,0.000150671,6.0901e-05
31,20,4.23912e-08,0.000162245,5.7442e-05,0.75,5.08694e-08,0.000162532,6.30793e-05
31,20,4.23912e-08,0.000162245,5.7442e-05,1,5.08694e-08,0.000162507,6.3065e-05
31,20,4.23912e-08,0.000162245,5.7442e-05,1.1,5.08694e-08,0.000162497,6.30594e-05
32,20,3.8152e-08,0.000162144,5.7382e-05,0.75,4.57825e-08,0.000158749,6.7995e-05
32,20,3.8152e-08,0.000162144,5.7382e-05,1,4.57825e-08,0.000158726,6.79813e-05
32,20,3.8152e-08,0.000162144,5.7382e-05,1.1,4.57825e-08,0.000158717,6.79759e-05
33,20,3.43368e-08,0.000162043,5.73222e-05,0.75,4.12042e-08,0.000158849,5.57879e-05
33,20,3.43368e-08,0.000162043,5.73222e-05,1,4.12042e-08,0.000158831,5.57746e-05
33,20,3.43368e-08,0.000162043,5.73222e-05,1.1,4.12042e-08,0.000158823,5.57695e-05
34,20,3.09032e-08,0.000161943,5.72628e-05,0.75,3.70838e-08,0.000175554,5.43353e-05
34,20,3.09032e-08,0.000161943,5.72628e-05,1,3.70838e-08,0.000175533,5.43253e-05
34,20,3.09032e-08,0.000161943,5.72628e-05,1.1,3.70838e-08,0.000175524,5.43211e-05
35,20,2.78128e-08,0.000161934,5.72566e-05,0.75,3.33754e-08,0.000147441,6.63494e-05
35,20,2.78128e-08,0.000161934,5.72566e-05,1,3.33754e-08,0.000147418,6.6333e-05
35,20,2.78128e-08,0.000161934,5.72566e-05,1.1,3.33754e-08,0.000147409,6.63269e-05
36,20,2.50316e-08,0.000161834,5.71977e-05,0.75,3.00379e-08,0.000165115,5.34682e-05
36,20,2.50316e-08,0.000161834,5.71977e-05,1,3.00379e-08,0.00016509,5.34538e-05
36,20,2.50316e-08,0.000161834,5.71977e-05,1.1,3.00379e-08,0.00016508,5.34479e-05
37,20,2.25284e-08,0.000161734,5.71387e-05,0.75,2.70341e-08,0.000142335,4.62934e-05
37,20,2.25284e-08,0.000161734,5.71387e-05,1,2.70341e-08,0.000142318,4.62785e-05
37,20,2.25284e-08,0.000161734,5.71387e-05,1.1,2.70341e-08,0.000142312,4.62726e-05
38,20,2.02756e-08,0.000161634,5.70801e-05,0.75,2.43307e-08,0.000137733,6.30601e-05
38,20,2.02756e-08,0.000161634,5.70801e-05,1,2.43307e-08,0.000137719,6.30474e-05
38,20,2.02756e-08,0.000161634,5.70801e-05,1.1,2.43307e-08,0.000137714,6.30436e-05
39,20,1.8248e-08,0.000161535,5.7022e-05,0.75,2.18976e-08,0.000167843,5.38169e-05
39,20,1.8248e-08,0.000161535,5.7022e-05,1,2.18976e-08,0.000167823,5.38066e-05
39,20,1.8248e-08,0.000161535,5.7022e-05,1.1,2.18976e-08,0.000167816,5.38027e-05
40,20,1.64232e-08,0.000161436,5.69639e-05,0.75,1.97078e-08,0.000139058,6.54784e-05
40,20,1.64232e-08,0.000161436,5.69639e-05,1,1.97078e-08,0.000139043,6.54657e-05
40,20,1.64232e-08,0.000161436,5.69639e-05,1.1,1.97078e-08,0.000139037,6.5461e-05
41,20,1.47809e-08,0.000161337,5.69063e-05,0.75,1.77371e-08,0.000153147,6.18019e-05
41,20,1.47809e-08,0.000161337,5.69063e-05,1,1.77371e-08,0.000153123,6.1785e-05
41,20,1.47809e-08,0.000161337,5.69063e-05,1.1,1.77371e-08,0.000153113,6.17783e-05
42,20,1.33028e-08,0.000161238,5.68488e-05,0.75,1.59634e-08,0.000129472,6.97862e-05
42,20,1.33028e-08,0.000161238,5.68488e-05,1,1.59634e-08,0.000129453,6.97701e-05
42,20,1.33028e-08,0.000161238,5.68488e-05,1.1,1.59634e-08,0.000129446,6.97635e-05
43,20,1.19725e-08,0.00016114,5.67916e-05,0.75,1.4367e-08,0.000170236,5.56544e-05
43,20,1.19725e-08,0.00016114,5.67916e-05,1,1.4367e-08,0.000170209,5.56414e-05
43,20,1.19725e-08,0.00016114,5.67916e-05,1.1,1.4367e-08,0.000170199,5.56362e-05
44,20,1.07753e-08,0.000161128,5.67845e-05,0.75,1.29303e-08,0.000153477,5.91159e-05
44,20,1.07753e-08,0.000161128,5.67845e-05,1,1.29303e-08,0.000153451,5.90994e-05
44,20,1.07753e-08,0.000161128,5.67845e-05,1.1,1.29303e-08,0.000153442,5.90932e-05
45,20,9.69774e-09,0.00016103,5.67277e-05,0.75,1.16373e-08,0.00014826,6.52913e-05
45,20,9.69774e-09,0.00016103,5.67277e-05,1,1.16373e-08,0.000148241,6.52777e-05
45,20,9.69774e-09,0.00016103,5.67277e-05,1.1,1.16373e-08,0.000148234,6.52722e-05
46,20,8.72796e-09,0.000160932,5.6671e-05,0.75,1.04736e-08,0.000174004,4.79724e-05
46,20,8.72796e-09,0.000160932,5.6671e-05,1,1.04736e-08,0.000173973,4.796e-05
46,20,8.72796e-09,0.000160932,5.6671e-05,1.1,1.04736e-08,0.000173961,4.7955e-05
47,20,7.85517e-09,0.000160918,5.66635e-05,0.75,9.4262e-09,0.000151878,6.03893e-05
47,20,7.85517e-09,0.000160918,5.66635e-05,1,9.4262e-09,0.000151863,6.03805e-05
47,20,7.85517e-09,0.000160918,5.66635e-05,1.1,9.4262e-09,0.000151857,6.03767e-05
48,20,7.06965e-09,0.000160821,5.66072e-05,0.75,8.48358e-09,0.00014571,6.85163e-05
48,20,7.06965e-09,0.000160821,5.66072e-05,1,8.48358e-09,0.00014569,6.85013e-05
48,20,7.06965e-09,0.000160821,5.66072e-05,1.1,8.48358e-09,0.000145682,6.8495e-05
49,20,6.36269e-09,0.000160723,5.65511e-05,0.75,7.63522e-09,0.000156168,6.45431e-05
49,20,6.36269e-09,0.000160723,5.65511e-05,1,7.63522e-09,0.000156149,6.45322e-05
49,20,6.36269e-09,0.000160723,5.65511e-05,1.1,7.63522e-09,0.000156142,6.45283e-05
50,20,5.72642e-09,0.000160626,5.64954e-05,0.75,6.8717e-09,0.000150633,6.24756e-05
50,20,5.72642e-09,0.000160626,5.64954e-05,1,6.8717e-09,0.000150618,6.24659e-05
50,20,5.72642e-09,0.000160626,5.64954e-05,1.1,6.8717e-09,0.000150613,6.24626e-05
