group,mean_change,std_change,num_at_near_lbound,percent_at_near_lbound,num_at_near_ubound,percent_at_near_ubound,initial_cv,current_cv
dmfdma,0.013776127163538397224,0.024441170415329983856,0,0,0,0,1.1983689290457228971,1.1979110079098147512
dmamma,0.0099022260625436387543,0.01084932223452788648,30,15,0,0,1.2055868485037362081,1.2053366953373378934
mmanh3,0.012016289047864338671,0.0020723662482656449862,0,0,0,0,1.5113941173231182358,1.5111812077995863124
