group,mean_change,std_change,num_at_near_lbound,percent_at_near_lbound,num_at_near_ubound,percent_at_near_ubound,initial_cv,current_cv
dmfdma,0.056156466869711839374,0.099572298267207148825,0,0,0,0,1.1983689290457228971,1.1965037713174173639
dmamma,0.040746961148557490906,0.0445997624678412391,30,15,0,0,1.2055868485037362081,1.2045583387146723275
mmanh3,0.049663040078034910441,0.0085682046928209180947,0,0,0,0,1.5113941173231182358,1.5105144505844523284
