group,mean_change,std_change,num_at_near_lbound,percent_at_near_lbound,num_at_near_ubound,percent_at_near_ubound,initial_cv,current_cv
dmfdma,2.4510390485321225107,2.1395322426265490634,19,11.176470588235295267,1,0.58823529411764707842,0.42765010330656344495,0.42901573464109393763
dmamma,14.166460246527496025,14.904178547031193602,0,0,2,1.1764705882352941568,0.55256837911278822162,0.41186579690744518079
mmanh3,1.0705682268524348011,0.071392166212575838835,4,2.3529411764705883137,6,3.5294117647058822484,0.33917102235045287761,0.33581800304977299509
