real_name,dmf_0,dmf_1,dmf_2,dmf_3,dmf_4,dmf_5,dmf_6,dmf_7,dmf_8,dma_0,dma_1,dma_2,dma_3,dma_4,dma_5,dma_6,dma_7,dma_8,nh3_0,nh3_1,nh3_2,nh3_3,nh3_4,nh3_5,nh3_6,nh3_7,nh3_8
0,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,1,1,1,1,1,1,1,1,1
1,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,1,1,1,1,1,1,1,1,1
2,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,1,1,1,1,1,1,1,1,1
3,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,1,1,1,1,1,1,1,1,1
4,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,1,1,1,1,1,1,1,1,1
5,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,1,1,1,1,1,1,1,1,1
6,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,1,1,1,1,1,1,1,1,1
7,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,1,1,1,1,1,1,1,1,1
8,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,1,1,1,1,1,1,1,1,1
9,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,0.56999999999999995115,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,3.4700000000000001954,1,1,1,1,1,1,1,1,1
